theta_id,theta_family,support_strata,safe_positive_support,hard_negative_support,hard_negative_regression_count_vs_static_flow,hard_negative_regression_count_vs_additive,fingerprint_match_rate,support_distance_threshold,utility_mean,utility_CI,forbidden_reason,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
repair5g549_theta_549000016,alpha_cong_commit_nonprogress_sweep,2,16,2,2,2,1,0.05,0.0208937382916,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.843795562409,1.25,0.75,0.75,1,1,0.95,1,0.982141035718,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000017,g543_true_near_signal_neighborhood,2,8,2,2,2,1,0.05,0.030763701536,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.20767978464,0.229727940544,0.781452687095,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000018,g546_g548_safe_no_gain_neighborhood,2,12,2,2,2,1,0.05,0.02325185855,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.336436127128,0.95,1,1.09575445849,1,0.35,0.75,0.405103539793,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000019,surrogate_guided_theta_if_model_exists,2,10,2,2,2,1,0.05,0.02784866414,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.39544170912,1.25,0.75,0.75,1,1,0.95,1,0.978847342305,0.921348857302,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000020,negative_control,2,22,0,0,0,1,0.05,0.0479109793974,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.716541566917,1.29423791152,0.35,0.75,1,8.12745974508,0,0,1,False,False,False,False,False
repair5g549_theta_549000021,static_flow_local_perturbation_fulltheta,2,16,0,0,0,1,0.05,0.0301811653169,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1.11075977848,0.95,1,0.758372683255,0.832565534869,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000022,lambda_flow_lambda_cong_sweep,2,10,0,0,0,1,0.05,0.020507905094,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.47086805826,0.0749863500273,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000023,alpha_flow_wait_progress_sweep,2,12,0,0,0,1,0.05,0.023735311205,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.996578006844,0.95,1,1,1.05673288653,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000024,edge_cost_clamp_sweep,2,10,4,4,4,1,0.05,0.025057064216,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.714819070362,8.18377563245,1,0,0,False,False,False,False,False
repair5g549_theta_549000025,goal_projection_mode_ablation,2,12,2,2,2,1,0.05,0.023735311205,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.169181661637,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000026,alpha_cong_commit_nonprogress_sweep,2,6,2,2,2,1,0.05,0.02523441383,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.867889264221,1.25,0.75,0.75,1,1,0.95,1,1.44776010448,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000027,g543_true_near_signal_neighborhood,2,20,0,0,0,1,0.05,0.0299433555834,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.239514120972,0.303733292533,0.867087515825,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000028,g546_g548_safe_no_gain_neighborhood,2,10,0,0,0,1,0.05,0.021522670542,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.738498623003,0.95,1,1.03333248334,1,0.35,0.75,0.308165683669,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000029,surrogate_guided_theta_if_model_exists,2,16,0,0,0,1,0.05,0.0226412519037,compact_audit_not_claim,,1.25,0.986681776636,1.25,0.75,0.75,1,1,0.95,1,0.877114745771,0.168532762934,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000030,negative_control,2,22,0,0,0,1,0.05,0.0566518380327,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.3118993762,1.34933430133,0.35,0.75,1,11.6541006918,0,0,1,False,False,False,False,False
repair5g549_theta_549000031,static_flow_local_perturbation_fulltheta,2,18,0,0,0,1,0.05,0.0208144356088,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1.22716074568,0.95,1,0.801066797866,1.0007001986,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000032,lambda_flow_lambda_cong_sweep,2,18,0,0,0,1,0.05,0.0218352591297,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.909718180564,0.778006443987,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000033,alpha_flow_wait_progress_sweep,2,22,0,0,0,1,0.05,0.0209708261357,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.61843501313,0.95,1,1,0.0152849694301,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000034,edge_cost_clamp_sweep,2,10,2,2,2,1,0.05,0.025144761122,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.987496025008,9.76162447675,1,0,0,False,False,False,False,False
repair5g549_theta_549000035,goal_projection_mode_ablation,2,18,0,0,0,1,0.05,0.0226472951467,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.652500195,0.35,0.75,1,11,0,1,0,False,False,False,False,False
repair5g549_theta_549000036,alpha_cong_commit_nonprogress_sweep,2,8,4,4,4,1,0.05,0.011630081955,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.940595368809,1.25,0.75,0.75,1,1,0.95,1,1.38294223412,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000037,g543_true_near_signal_neighborhood,2,8,2,2,2,1,0.05,0.0141846227175,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.584342231316,0.674843050314,0.569640360719,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000038,g546_g548_safe_no_gain_neighborhood,2,10,0,0,0,1,0.05,0.016723707668,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.514158771682,0.95,1,1.30652173696,1,0.35,0.75,0.713627072746,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000039,surrogate_guided_theta_if_model_exists,2,8,0,0,0,1,0.05,0.03486069814,compact_audit_not_claim,,1.25,1.42134710731,1.25,0.75,0.75,1,1,0.95,1,1.12764544471,0.570613558773,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000040,negative_control,2,16,0,0,0,1,0.05,0.0229963741137,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.06159087682,0.728208043584,0.35,0.75,1,8.28864342271,0,0,1,False,False,False,False,False
repair5g549_theta_549000041,static_flow_local_perturbation_fulltheta,2,10,2,0,2,1,0.05,0.0186594109446,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1.08801322397,0.95,1,0.766951466097,0.930081539837,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000042,lambda_flow_lambda_cong_sweep,2,10,0,0,0,1,0.05,0.012622568894,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.05991088018,0.895265709469,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000043,alpha_flow_wait_progress_sweep,2,4,2,0,2,1,0.05,0.02137500117,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.0308836882326,0.95,1,1,1.06212837574,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000044,edge_cost_clamp_sweep,2,6,2,2,2,1,0.05,0.0253809047567,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.606824536351,8.04043191914,1,0,0,False,False,False,False,False
repair5g549_theta_549000045,goal_projection_mode_ablation,2,16,0,0,0,1,0.05,0.0375032745703,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1.24626050748,0.35,0.75,1,11,0,0,1,False,False,False,False,False
repair5g549_theta_549000046,alpha_cong_commit_nonprogress_sweep,2,16,2,2,2,1,0.05,0.02680149334,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.04222016556,1.25,0.75,0.75,1,1,0.95,1,0.685704628591,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000047,g543_true_near_signal_neighborhood,2,18,2,2,2,1,0.05,0.0348497675654,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.306377987244,0.348352203296,0.910825928348,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000048,g546_g548_safe_no_gain_neighborhood,2,16,0,0,0,1,0.05,0.022834103305,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.501271697457,0.95,1,0.823731302537,1,0.35,0.75,0.381885336229,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000049,surrogate_guided_theta_if_model_exists,2,8,4,2,4,1,0.05,0.022706139385,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.985498579003,1.25,0.75,0.75,1,1,0.95,1,0.897579504841,1.10809728381,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000050,negative_control,2,18,0,0,0,1,0.05,0.0354163927808,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.13040673919,1.11283727433,0.35,0.75,1,9.14106971786,0,0,1,False,False,False,False,False
repair5g549_theta_549000051,static_flow_local_perturbation_fulltheta,2,10,4,2,4,1,0.05,0.012378396782,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.843471713057,0.95,1,1.13443573113,0.918136163728,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000052,lambda_flow_lambda_cong_sweep,2,16,0,0,0,1,0.05,0.0385784631462,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.562142875714,1.41533266933,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000053,alpha_flow_wait_progress_sweep,2,8,2,2,2,1,0.05,0.01355150652,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1.21565381869,0.95,1,1,1.44530710939,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000054,edge_cost_clamp_sweep,2,6,2,2,2,1,0.05,0.0253809047567,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.821845356309,11.3473413053,1,0,0,False,False,False,False,False
repair5g549_theta_549000055,goal_projection_mode_ablation,2,8,0,0,0,1,0.05,0.0232076939725,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.11291977416,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000056,alpha_cong_commit_nonprogress_sweep,2,4,2,0,2,1,0.05,0.01825854662,compact_audit_not_claim,success_regression_vs_additive,1.25,1.64053771892,1.25,0.75,0.75,1,1,0.95,1,1.42621714757,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000057,g543_true_near_signal_neighborhood,2,12,2,0,2,1,0.05,0.0264769655117,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.637876524247,0.55788978422,0.815518368963,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000058,g546_g548_safe_no_gain_neighborhood,2,6,2,0,2,1,0.05,0.0255465595533,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.958090983818,0.95,1,0.952253595493,1,0.35,0.75,0.350687198626,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000059,surrogate_guided_theta_if_model_exists,2,8,2,2,2,1,0.05,0.005188524805,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.956917386165,1.25,0.75,0.75,1,1,0.95,1,1.37452415095,0.755797188406,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000060,negative_control,2,12,2,2,2,1,0.05,0.0193094014983,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.52883494233,0.126319247362,0.35,0.75,1,9.9817000366,0,0,1,False,False,False,False,False
repair5g549_theta_549000061,static_flow_local_perturbation_fulltheta,2,2,4,2,4,1,0.05,0.02509907529,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.733877732245,0.95,1,1.29830800338,0.743257513485,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000062,lambda_flow_lambda_cong_sweep,2,14,2,0,2,1,0.05,0.0175990104881,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.18054663891,1.14896020208,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000063,alpha_flow_wait_progress_sweep,2,16,4,2,4,1,0.05,0.0172647385644,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.383789232422,0.95,1,1,0.817345365309,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000064,edge_cost_clamp_sweep,2,8,2,0,2,1,0.05,0.0196396800125,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.839021821956,8.29407941184,1,0,0,False,False,False,False,False
repair5g549_theta_549000065,goal_projection_mode_ablation,2,8,0,0,0,1,0.05,0.034198825285,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.616075767848,0.35,0.75,1,11,0,1,0,False,False,False,False,False
repair5g549_theta_549000066,alpha_cong_commit_nonprogress_sweep,2,10,0,0,0,1,0.05,0.01525356444,compact_audit_not_claim,,1.25,1.62330525339,1.25,0.75,0.75,1,1,0.95,1,1.15729568541,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000067,g543_true_near_signal_neighborhood,2,10,4,2,4,1,0.05,0.0278326034342,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.173681452637,0.448190503619,0.802787894424,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000068,g546_g548_safe_no_gain_neighborhood,2,14,0,0,0,1,0.05,0.0279722520377,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.724525250949,0.95,1,0.902063295873,1,0.35,0.75,0.572840554319,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000069,surrogate_guided_theta_if_model_exists,2,4,0,0,0,1,0.05,0.00539848025,compact_audit_not_claim,,1.25,0.682702834594,1.25,0.75,0.75,1,1,0.95,1,1.35942098116,1.16867436265,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000070,negative_control,2,8,0,0,0,1,0.05,0.0187584065125,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.14796670407,0.587370325259,0.35,0.75,1,8.83966232068,0,0,1,False,False,False,False,False
repair5g549_theta_549000071,static_flow_local_perturbation_fulltheta,2,8,0,0,0,1,0.05,0.0086430237525,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.929960940078,0.95,1,1.26558466883,1.16777466445,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000072,lambda_flow_lambda_cong_sweep,2,10,4,2,4,1,0.05,0.02038189533,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.08696282607,0.336758326483,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000073,alpha_flow_wait_progress_sweep,2,8,2,0,2,1,0.05,0.0138288376575,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.0508186483627,0.95,1,1,0.959251081498,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000074,edge_cost_clamp_sweep,2,6,4,2,4,1,0.05,0.02062355281,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.985379529241,11.1733336533,1,0,0,False,False,False,False,False
repair5g549_theta_549000075,goal_projection_mode_ablation,2,14,0,0,0,1,0.05,0.016487664043,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.722965554069,0.35,0.75,1,11,0,0,1,False,False,False,False,False
repair5g549_theta_549000076,alpha_cong_commit_nonprogress_sweep,2,4,0,0,0,1,0.05,0.02294695926,compact_audit_not_claim,,1.25,1.56221162558,1.25,0.75,0.75,1,1,0.95,1,1.28344143312,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000077,g543_true_near_signal_neighborhood,2,6,0,0,0,1,0.05,0.0238366771,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.767447465105,0.345262209476,0.63160523679,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000078,g546_g548_safe_no_gain_neighborhood,2,8,4,2,4,1,0.05,0.0194900070375,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.517171965656,0.95,1,1.07918729163,1,0.35,0.75,0.330801438397,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000079,surrogate_guided_theta_if_model_exists,2,10,0,0,0,1,0.05,0.00970672682,compact_audit_not_claim,,1.25,1.45624208752,1.25,0.75,0.75,1,1,0.95,1,1.31883706233,0.217063065874,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000080,negative_control,2,12,0,0,0,1,0.05,0.0221259457767,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.05565888868,0.662320675359,0.35,0.75,1,9.448001104,0,0,1,False,False,False,False,False
repair5g549_theta_549000081,static_flow_local_perturbation_fulltheta,2,8,0,0,0,1,0.05,0.0206607813828,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1.25,0.95,1,0.752243095514,1.09236321527,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000082,lambda_flow_lambda_cong_sweep,2,6,0,0,0,1,0.05,0.0136015931733,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.23159153682,0.150362699275,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000083,alpha_flow_wait_progress_sweep,2,8,0,0,0,1,0.05,0.0199248802625,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1.02312670375,0.95,1,1,1.16606916786,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000084,edge_cost_clamp_sweep,2,8,2,0,2,1,0.05,0.0169407285825,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.487486275027,11.8619682761,1,0,0,False,False,False,False,False
repair5g549_theta_549000085,goal_projection_mode_ablation,2,8,0,0,0,1,0.05,0.0169407285825,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.593991312017,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000086,alpha_cong_commit_nonprogress_sweep,2,10,0,0,0,1,0.05,0.020845768144,compact_audit_not_claim,,1.25,1.74297876404,1.25,0.75,0.75,1,1,0.95,1,1.08009083982,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000087,g543_true_near_signal_neighborhood,2,4,2,0,2,1,0.05,0.02534627384,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.302622794754,0.585582728835,0.594686560627,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000088,g546_g548_safe_no_gain_neighborhood,2,8,0,0,0,1,0.05,0.016797424295,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.968799162402,0.95,1,0.790179669641,1,0.35,0.75,0.674749300501,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000089,surrogate_guided_theta_if_model_exists,2,12,2,0,2,1,0.05,0.0227281443382,compact_audit_not_claim,success_regression_vs_additive,1.25,1.41246802506,1.25,0.75,0.75,1,1,0.95,1,0.828720442559,0.540011219978,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000090,negative_control,2,8,0,0,0,1,0.05,0.0430351515235,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.00217299565,1.32930334139,0.35,0.75,1,8.45262709475,0,0,1,False,False,False,False,False
repair5g549_theta_549000091,static_flow_local_perturbation_fulltheta,2,10,0,0,0,1,0.05,0.0169789873468,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,0.75281009438,0.95,1,0.92525514949,0.825250949498,0.35,0.75,1,11,1,0,0,False,False,False,False,False
repair5g549_theta_549000092,lambda_flow_lambda_cong_sweep,2,8,0,0,0,1,0.05,0.0258461871775,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.92653014694,0.200809098382,0.35,0.75,1,11,1,0,0,False,False,False,False,False
