candidate_id,theta_parameter,direction,current_value,candidate_value,planned_for_stage0b_field_smoke,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g554_onefactor_theta_alpha_flow_wait_progress_up,theta_alpha_flow_wait_progress,up,0,0.0625,True,1.25,1.25,1.25,0.75,0.75,1,0.0625,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_rho_cong_decay_down,theta_rho_cong_decay,down,0.95,0.9025,True,1.25,1.25,1.25,0.75,0.75,1,0,0.9025,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_rho_cong_decay_up,theta_rho_cong_decay,up,0.95,0.9975,True,1.25,1.25,1.25,0.75,0.75,1,0,0.9975,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_rho_flow_decay_down,theta_rho_flow_decay,down,1,0.95,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,0.95,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_rho_flow_decay_up,theta_rho_flow_decay,up,1,1,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_lambda_cong_down,theta_lambda_cong,down,1,0.95,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,0.95,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_lambda_cong_up,theta_lambda_cong,up,1,1.05,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1.05,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_lambda_flow_down,theta_lambda_flow,down,0,0,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_lambda_flow_up,theta_lambda_flow,up,0,0.075,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0.075,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_flow_shield_beta_down,theta_flow_shield_beta,down,0.35,0.31,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.31,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_flow_shield_beta_up,theta_flow_shield_beta,up,0.35,0.39,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.39,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_max_flow_shield_down,theta_max_flow_shield,down,0.75,0.6875,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.6875,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_max_flow_shield_up,theta_max_flow_shield,up,0.75,0.8125,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.8125,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_min_edge_cost_down,theta_min_edge_cost,down,1,0.95,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,0.95,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_min_edge_cost_up,theta_min_edge_cost,up,1,1,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11,1,0,0,False,False,False,False,False
g554_onefactor_theta_max_edge_cost_down,theta_max_edge_cost,down,11,10.45,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,10.45,1,0,0,False,False,False,False,False
g554_onefactor_theta_max_edge_cost_up,theta_max_edge_cost,up,11,11.55,True,1.25,1.25,1.25,0.75,0.75,1,0,0.95,1,1,0,0.35,0.75,1,11.55,1,0,0,False,False,False,False,False
