topology_id,map,map_family,source_map_family,topology_variant,generated_qd_diagnostic,width,height,free_cells,free_cell_ratio,obstacle_rate_proxy,heldout_topology,topology_split,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_topology_025_irregular,Boston_0_256,irregular,irregular,0,False,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False
g557_topology_026_irregular,Paris_1_256,irregular,irregular,0,False,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False
g557_topology_027_irregular,brc202d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_028_irregular,den312d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_029_irregular,den520d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_030_irregular,lak303d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_031_irregular,orz900d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_032_irregular,ost003d,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_033_irregular,w_woundedcoast,irregular,irregular,0,False,256,256,49152,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_034_qd_empty,empty-32-32,qd_empty,empty,1,True,32,32,1024,1,0,False,train_topology,False,False,False,False,False
g557_topology_035_qd_empty,empty-48-48,qd_empty,empty,1,True,48,48,2304,1,0,False,train_topology,False,False,False,False,False
g557_topology_036_qd_empty,empty-16-16,qd_empty,empty,1,True,16,16,256,1,0,False,train_topology,False,False,False,False,False
g557_topology_037_qd_random,random-32-32-20,qd_random,random,1,True,32,32,819,0.7998046875,0.2,False,train_topology,False,False,False,False,False
g557_topology_038_qd_random,random-64-64-20,qd_random,random,1,True,64,64,3276,0.7998046875,0.2,False,train_topology,False,False,False,False,False
g557_topology_039_qd_random,random-32-32-10,qd_random,random,1,True,32,32,921,0.8994140625,0.1,False,train_topology,False,False,False,False,False
g557_topology_040_qd_random,random-64-64-10,qd_random,random,1,True,64,64,3686,0.89990234375,0.1,False,train_topology,False,False,False,False,False
g557_topology_041_qd_maze,maze-32-32-4,qd_maze,maze,1,True,32,32,737,0.7197265625,0.28,False,train_topology,False,False,False,False,False
g557_topology_042_qd_maze,maze-32-32-2,qd_maze,maze,1,True,32,32,819,0.7998046875,0.2,False,train_topology,False,False,False,False,False
g557_topology_043_qd_maze,maze-128-128-2,qd_maze,maze,1,True,128,128,13107,0.799987792969,0.2,False,train_topology,False,False,False,False,False
g557_topology_044_qd_maze,maze-128-128-10,qd_maze,maze,1,True,128,128,9830,0.599975585938,0.4,False,train_topology,False,False,False,False,False
g557_topology_045_qd_room,room-32-32-4,qd_room,room,1,True,32,32,839,0.8193359375,0.18,False,train_topology,False,False,False,False,False
g557_topology_046_qd_room,room-64-64-8,qd_room,room,1,True,64,64,3358,0.81982421875,0.18,False,train_topology,False,False,False,False,False
g557_topology_047_qd_room,room-64-64-16,qd_room,room,1,True,64,64,3276,0.7998046875,0.2,False,train_topology,False,False,False,False,False
g557_topology_048_qd_warehouse,warehouse-10-20-10-2-1,qd_warehouse,warehouse,1,True,170,84,9996,0.7,0.3,False,train_topology,False,False,False,False,False
g557_topology_049_qd_warehouse,warehouse-10-20-10-2-2,qd_warehouse,warehouse,1,True,170,84,9996,0.7,0.3,False,train_topology,False,False,False,False,False
g557_topology_050_qd_warehouse,warehouse-20-40-10-2-1,qd_warehouse,warehouse,1,True,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False
g557_topology_051_qd_warehouse,warehouse-20-40-10-2-2,qd_warehouse,warehouse,1,True,340,164,37916,0.679985652798,0.32,False,train_topology,False,False,False,False,False
g557_topology_052_qd_bottleneck,connector,qd_bottleneck,bottleneck,1,True,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False
g557_topology_053_qd_bottleneck,corners,qd_bottleneck,bottleneck,1,True,64,64,2662,0.64990234375,0.35,False,train_topology,False,False,False,False,False
g557_topology_054_qd_bottleneck,tunnel,qd_bottleneck,bottleneck,1,True,64,64,2539,0.619873046875,0.38,False,train_topology,False,False,False,False,False
g557_topology_055_qd_bottleneck,loop-chain,qd_bottleneck,bottleneck,1,True,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_056_qd_bottleneck,string,qd_bottleneck,bottleneck,1,True,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_057_qd_bottleneck,tree,qd_bottleneck,bottleneck,1,True,64,64,3072,0.75,0.25,False,train_topology,False,False,False,False,False
g557_topology_058_qd_irregular,Berlin_1_256,qd_irregular,irregular,1,True,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False
g557_topology_059_qd_irregular,Boston_0_256,qd_irregular,irregular,1,True,256,256,52428,0.799987792969,0.2,False,train_topology,False,False,False,False,False
