theta_id,theta_family,support_strata,safe_positive_support,hard_negative_support,hard_negative_regression_count_vs_static_flow,hard_negative_regression_count_vs_additive,fingerprint_match_rate,support_distance_threshold,utility_mean,utility_CI,forbidden_reason,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,theta_in_safe_library
repair5g550_theta_550000067,safe_expert_mixture_with_abstention,5,72,0,0,0,1,0.05,0.0247902972808,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.638507206606,10.1160466093,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000068,safe_expert_mixture_with_abstention,5,71,0,0,0,1,0.05,0.0242237419471,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.909626801652,10.7790116523,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000069,safe_expert_mixture_with_abstention,5,70,0,0,0,1,0.05,0.0231048312661,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.819253603303,10.5580233046,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000070,safe_expert_mixture_with_abstention,5,68,0,0,0,1,0.05,0.0229912506903,compact_audit_not_claim,,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.728880404955,10.337034957,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000076,safe_expert_mixture_with_abstention,5,112,0,0,0,1,0.05,0.0332595338721,compact_audit_not_claim,,1.25,1.475,1.25,0.75,0.75,1,0.8,0.95,1,1.12,1.11,0.4095,0.87,0.747053431729,9.10444194836,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000077,safe_expert_mixture_with_abstention,5,107,0,0,0,1,0.05,0.0346172232833,compact_audit_not_claim,,1.25,1.3875,1.25,0.75,0.75,1,0.93,0.95,1,0.95,0.91,0.322,0.885,0.734283287597,8.90212101617,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000081,safe_expert_mixture_with_abstention,5,77,0,0,0,1,0.05,0.0293392979051,compact_audit_not_claim,,1.25,0.9875,1.25,0.75,0.75,1,0.96,0.95,1,1.21,1.16,0.2975,0.87,0.56827141388,12,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000082,safe_expert_mixture_with_abstention,5,111,0,0,0,1,0.05,0.0281697573572,compact_audit_not_claim,,1.25,1.2,1.25,0.75,0.75,1,1.14,0.95,1,0.81,0.88,0.322,0.795,0.574656485946,11.936934999,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000086,safe_expert_mixture_with_abstention,5,97,0,0,0,1,0.05,0.0262333479386,compact_audit_not_claim,,1.25,1.425,1.25,0.75,0.75,1,0.8,0.95,1,1.05,0.84,0.3955,0.81,0.77897879206,9.71140474492,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000087,safe_expert_mixture_with_abstention,5,84,0,0,0,1,0.05,0.0261987991366,compact_audit_not_claim,,1.25,1.35,1.25,0.75,0.75,1,1.2,0.95,1,1.15,0.87,0.371,0.8175,0.517190837351,9.10444194836,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000090,safe_expert_mixture_with_abstention,5,109,0,0,0,1,0.05,0.0279996929,compact_audit_not_claim,,1.25,1.025,1.25,0.75,0.75,1,1.21,0.95,1,0.91,0.95,0.392,0.81,0.708742999333,9.20560241445,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000109,safe_expert_mixture_with_abstention,5,83,0,0,0,1,0.05,0.0242770992275,compact_audit_not_claim,,1.25,1.3125,1.25,0.75,0.75,1,1.17,0.95,1,1.1,1.22,0.273,0.8475,0.728692575279,8.3934184311,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000115,safe_expert_mixture_with_abstention,5,114,0,0,0,1,0.05,0.0345823207419,compact_audit_not_claim,,1.25,1.4125,1.25,0.75,0.75,1,0.81,0.95,1,1.05,0.83,0.329,0.915,0.68394829434,11.6294351756,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000119,safe_expert_mixture_with_abstention,5,96,0,0,0,1,0.05,0.0264449444417,compact_audit_not_claim,,1.25,1.0875,1.25,0.75,0.75,1,0.81,0.95,1,1.16,1.09,0.329,0.855,0.696732374608,10.9215565128,1,0,0,False,False,False,False,False,True
repair5g550_theta_550000121,safe_expert_mixture_with_abstention,5,111,0,0,0,1,0.05,0.0275076231672,compact_audit_not_claim,,1.25,1.1625,1.25,0.75,0.75,1,0.94,0.95,1,0.92,0.92,0.3815,0.7875,0.773436856217,10.8204309895,1,0,0,False,False,False,False,False,True
