row_type,policy,model,eval_scope,fold_id,context_budget_pairs,selected_policy_utility,safe_policy_sim_utility,candidate_induced_no_solution_count,budget_sensitive_failure_count,safe_positive_selected_count,static_recovery_capture_count,fallback_rate,top1_safe_oracle_capture_rate,top3_safe_oracle_capture_rate,top5_safe_oracle_capture_rate,region_top1_capture_rate,region_top2_capture_rate,action_class_accuracy,selected_candidate_match_rate,region_match_rate,avoidable_risk_ece,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_018,120,0.041287475724,0.041287475724,8,4,8,0,0.0,0.0,0.058333333333,0.141666666667,0.0,0.3,0.3,0.033333333333,0.05,0.511371611082,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_019,120,0.034335861726,0.034335861726,10,4,5,0,0.0,0.0,0.15,0.175,0.0,0.316666666667,0.408333333333,0.058333333333,0.075,0.494276200797,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_020,120,0.047390168939,0.047390168939,12,5,5,0,0.0,0.0,0.116666666667,0.15,0.0,0.375,0.458333333333,0.091666666667,0.091666666667,0.478604608588,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_021,120,0.035831452193,0.035831452193,11,4,7,0,0.0,0.0,0.083333333333,0.15,0.0,0.291666666667,0.416666666667,0.058333333333,0.083333333333,0.485339567931,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_022,120,0.047058405271,0.047058405271,8,3,6,0,0.0,0.0,0.108333333333,0.166666666667,0.0,0.35,0.4,0.058333333333,0.066666666667,0.511700978997,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_023,120,0.029178787207,0.029178787207,8,6,15,0,0.0,0.0,0.125,0.275,0.0,0.483333333333,0.45,0.075,0.091666666667,0.511157846031,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_024,120,0.03713483125,0.03713483125,9,9,9,0,0.0,0.0,0.175,0.225,0.0,0.441666666667,0.375,0.083333333333,0.108333333333,0.502334049277,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_025,120,0.032088728758,0.032088728758,6,4,8,0,0.0,0.0,0.075,0.108333333333,0.0,0.3,0.441666666667,0.091666666667,0.116666666667,0.526900633126,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_026,120,0.042615334344,0.042615334344,8,5,5,0,0.0,0.0,0.108333333333,0.133333333333,0.0,0.341666666667,0.316666666667,0.1,0.1,0.512579731177,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_027,120,0.037026917631,0.037026917631,8,3,6,0,0.0,0.0,0.116666666667,0.175,0.0,0.408333333333,0.4,0.058333333333,0.066666666667,0.511745044032,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_028,120,0.039837236118,0.039837236118,11,3,6,0,0.0,0.0,0.066666666667,0.1,0.0,0.325,0.425,0.108333333333,0.125,0.485831424709,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_029,120,0.041912600035,0.041912600035,9,5,3,0,0.0,0.0,0.05,0.066666666667,0.0,0.283333333333,0.366666666667,0.041666666667,0.083333333333,0.50089794937,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_030,120,0.034466655208,0.034466655208,13,5,5,0,0.0,0.0,0.108333333333,0.158333333333,0.0,0.383333333333,0.425,0.066666666667,0.083333333333,0.469119130347,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_031,120,0.033037854249,0.033037854249,8,2,3,0,0.0,0.0,0.125,0.158333333333,0.0,0.416666666667,0.375,0.05,0.058333333333,0.511476497926,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_032,120,0.041752565581,0.041752565581,6,3,9,0,0.0,0.0,0.141666666667,0.2,0.0,0.358333333333,0.458333333333,0.066666666667,0.083333333333,0.527333754455,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_033,120,0.037326638225,0.037326638225,9,7,3,0,0.0,0.0,0.075,0.091666666667,0.0,0.316666666667,0.341666666667,0.083333333333,0.125,0.500599166933,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_034,120,0.038498711678,0.038498711678,8,6,10,0,0.0,0.0,0.116666666667,0.158333333333,0.0,0.408333333333,0.425,0.116666666667,0.125,0.511563700314,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_035,120,0.032385534997,0.032385534997,9,5,9,0,0.0,0.0,0.1,0.175,0.0,0.4,0.441666666667,0.075,0.1,0.502075625326,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_036,120,0.035607029037,0.035607029037,9,2,5,0,0.0,0.0,0.108333333333,0.15,0.0,0.358333333333,0.375,0.05,0.083333333333,0.501302051284,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_037,120,0.040374170559,0.040374170559,10,9,4,0,0.0,0.0,0.091666666667,0.116666666667,0.0,0.333333333333,0.383333333333,0.075,0.108333333333,0.492792572721,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_038,120,0.03556773562,0.03556773562,11,4,4,0,0.0,0.0,0.091666666667,0.166666666667,0.0,0.358333333333,0.358333333333,0.083333333333,0.091666666667,0.486636894189,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_039,120,0.037719343638,0.037719343638,9,5,5,0,0.0,0.0,0.058333333333,0.108333333333,0.0,0.408333333333,0.35,0.075,0.1,0.502109478116,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_040,120,0.042902734875,0.042902734875,12,7,5,0,0.0,0.0,0.133333333333,0.166666666667,0.0,0.391666666667,0.4,0.075,0.108333333333,0.476488970218,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_041,120,0.035775730181,0.035775730181,6,3,7,0,0.0,0.0,0.108333333333,0.15,0.0,0.408333333333,0.416666666667,0.058333333333,0.091666666667,0.526291563991,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_042,120,0.03147093093,0.03147093093,13,5,9,0,0.0,0.0,0.108333333333,0.158333333333,0.0,0.408333333333,0.366666666667,0.058333333333,0.083333333333,0.468742994474,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_043,120,0.043140592305,0.043140592305,6,7,4,0,0.0,0.0,0.116666666667,0.141666666667,0.0,0.316666666667,0.416666666667,0.066666666667,0.066666666667,0.528606509035,False,False,False,False,False
bootstrap,doubly_robust_policy_evaluation,doubly_robust_policy_evaluation,bootstrap,bootstrap_044,120,0.03601746461,0.03601746461,13,3,6,0,0.0,0.0,0.066666666667,0.108333333333,0.0,0.35,0.433333333333,0.066666666667,0.091666666667,0.468452275507,False,False,False,False,False
