map,map_family,width,height,solver_map_path,solver_map_sha256,grid_source,physical_map_sha256,adjacency_sha256,actual_solver_map_registered,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g559-synth-warehouse-a-32,warehouse,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-warehouse-a-32.map,025838f1b34e1e18dd42eb22080d6bc0c611dfb1630c5659fbcaf745125a126a,synthetic_reconstruction,7ef6c3d699f085e83aae4a74af4d3a80e228e2acd4a8d94abfbc6ba844e7a611,1e7738e8a5040da4d1b712917c73893fcca0ba6aadbeecbe47530ab26521a707,True,False,False,False,False,False
g559-synth-warehouse-b-36,warehouse,36,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-warehouse-b-36.map,7eda51851dd2afa59c52d6a5fbdeeeb17b207741386ce1ada1d85ca0cf365f1d,synthetic_reconstruction,55f3b8abd889abf71aea1f354e70e49f8907e4bdfd6c513d1f9978c6b1ffcc8f,0cae910bc887d58a0609a1732171a583e8ba1922ad775bca40dca1540d740e1c,True,False,False,False,False,False
g559-synth-connector-32,irregular_bottleneck,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-connector-32.map,8fe1eb935524ce26bbdd9a46654fa81b05aca8426679db38bf5cc04201fb164d,synthetic_reconstruction,f8c0bbf70e0153a3e8c79747ca8d5272633b79baddd59cc9c40ddc4b440d41a1,1ebb93db09f463c3ecf508d0d7496828fbcc7c7ee0645eeef2809bf7858775db,True,False,False,False,False,False
g559-synth-corners-34,irregular_bottleneck,34,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-corners-34.map,33822b244b5fb1505e8fe751d2c372f2c2c3b2089dfa483741f4b13e15249ead,synthetic_reconstruction,50f00a33e4a714768d7f920af2f89b5ed061c6d2533634dd8ca17400a0273e3d,8932425f4f39f61c83b54c594cdbdfb5f4ceb399f52529c5482fdd784534ac1f,True,False,False,False,False,False
g559-synth-loop-chain-36,irregular_bottleneck,36,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-loop-chain-36.map,85857b3a98d44d92a658dfcb83956bf6974eccd6a188fb2b62db6f7236a70586,synthetic_reconstruction,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,f81bd35be19cf0f3dd8baade0896a14c624f4956c8689bc035890b999932f78e,True,False,False,False,False,False
g559-synth-tunnel-38,irregular_bottleneck,38,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-tunnel-38.map,23214cb2cb4c09521a0966f84567a04e85a24ba8f340e506a6cd559cf75feff1,synthetic_reconstruction,457bd56b8871e489dbd82a0563cc4509b2ab2ac2cc3d21ee44f9fc87add3bc4f,03d02b14a22f4cf6f89592d6ecebfdc5deee0910886cbd69a48c74be5fec0002,True,False,False,False,False,False
g559-synth-string-40,irregular_bottleneck,40,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-string-40.map,3171ce0b0eddd2175682e1475a39379eff680061daff35b202eb74d103a1ef4d,synthetic_reconstruction,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,2da61a094400d0176fc8892faae14e9a6a95bd8fc6bf15469d2eb767717fd7ec,True,False,False,False,False,False
g559-synth-tree-42,irregular_bottleneck,42,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-tree-42.map,97cb3563b14fd15d79a9d57ab7229543ba3696b3f01dd4f2050c55dfebfa425f,synthetic_reconstruction,02ec7ff7cd6494f443d4281a55993c0b0831fddd7c59687d20ff7ac63920160f,8c2ef574629edc69a792d7d66e913d473f9bdf109baf0187346811d9c5de2d5b,True,False,False,False,False,False
g559-synth-game-den-32,game,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-game-den-32.map,d96c41b59aa078d09c801722aec67079a0acdbe2ed9cdc11b71bfccf5cf466b1,synthetic_reconstruction,a239412a61015e89d0a73526ad7fa1e554931ce6416e2a2e037c8552a5438927,2fd636eebb411cc917d7865e1eaffaf4ea67029f55f97adb303b7a9b700a6fdf,True,False,False,False,False,False
g559-synth-game-brc-32,game,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-game-brc-32.map,50fb289060849b3a4b51fbced691aae336fe318c46b1ddf854fea3d9a2801c10,synthetic_reconstruction,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,fe132532d70e7c5e2a4cd34251ccbe1603b9ff7283ab27f4e9fde018c92dec5b,True,False,False,False,False,False
g559-synth-city-berlin-32,city,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-city-berlin-32.map,c9d505f72da087f6016daebdf6019c5c5dfe0a411e73cb2ac436605e8b8c0762,synthetic_reconstruction,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,ec8aaf34c11890d31f296f7f126c9e555bb365becb4afc49223e1affbd9815bd,True,False,False,False,False,False
g559-synth-city-boston-32,city,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-city-boston-32.map,bd53284a0aeded4a272617aea8583fd32c0fab3c62ecfb7ebc3f4e7488d68757,synthetic_reconstruction,913cd60123dcc70877c92842394a55e2f5c7749cebdc1748188776fd5714327d,63e7fcba416ead4ca7518386900858fa5e8434ef584649a56b253d8188ebd016,True,False,False,False,False,False
g559-synth-city-paris-32,city,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-city-paris-32.map,6e581eac9b6723d7c57d7c79158160daa0dce0240ac17117f10a612be78136b9,synthetic_reconstruction,21e432e5dcbbbb3ea52105da5f8e7460164527ceeaa04f55b94e194c9ed1dbe3,d47d572cd3c4e0e439e34f5cd84caabf9b530da69701966601fc30d577d7077c,True,False,False,False,False,False
g559-synth-game-lak-32,game,32,32,/root/shared-nvme/czr004_g559_remote_artifacts/contexts/maps/g559-synth-game-lak-32.map,d692654b8d9b2f652e6750fd39423c3cb4328fa36264f61eebb51b1984713753,synthetic_reconstruction,3d8211e6194a40724c7ffe8c552d48777ac9d2b767bf94623ae9f0c376a447f4,ffe610c0c9be3c46de04a3edb987d7a3775e64364a4c75e61fbbcd98ae46efab,True,False,False,False,False,False
