fold,seed,target,train_rows,predict_rows,finite_train_rows,train_physical_maps,predict_physical_maps,physical_map_leakage_violations,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
4,566,log_actor_expanded_nodes,43160,6888,43160,28,7,0,False,False,False,False,False
4,566,log_actor_low_level_pibt_calls,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,success_regression_vs_additive,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,success_regression_vs_static_flow,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,success_regression_vs_g556,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,success_gain,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,delta_vs_additive,43160,6888,41388,28,7,0,False,False,False,False,False
4,567,delta_vs_static_flow,43160,6888,42423,28,7,0,False,False,False,False,False
4,567,delta_vs_g556,43160,6888,42466,28,7,0,False,False,False,False,False
4,567,log_actor_runtime_ms,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,log_actor_expanded_nodes,43160,6888,43160,28,7,0,False,False,False,False,False
4,567,log_actor_low_level_pibt_calls,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,success_regression_vs_additive,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,success_regression_vs_static_flow,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,success_regression_vs_g556,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,success_gain,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,delta_vs_additive,43160,6888,41388,28,7,0,False,False,False,False,False
4,568,delta_vs_static_flow,43160,6888,42423,28,7,0,False,False,False,False,False
4,568,delta_vs_g556,43160,6888,42466,28,7,0,False,False,False,False,False
4,568,log_actor_runtime_ms,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,log_actor_expanded_nodes,43160,6888,43160,28,7,0,False,False,False,False,False
4,568,log_actor_low_level_pibt_calls,43160,6888,43160,28,7,0,False,False,False,False,False
