map,agents,seed,scen,oracle_source_method,lacam_star_ltm_success,oracle_success,lacam_star_ltm_ratio,oracle_ratio,oracle_delta_ratio_vs_ltm
random-32-32-20,100,44,random-32-32-20-random-44.scen,repair5g_dual_c_only_locked_f4,True,True,0.932385466035,0.932385466035,0.0
random-32-32-20,100,45,random-32-32-20-random-45.scen,repair5g_dual_c_only_locked_f4,True,True,1.20999541495,1.24896836314,0.038972948189999856
warehouse-10-20-10-2-1,50,26,warehouse-10-20-10-2-1-random-26.scen,repair5g_dual_c_only_locked_f4,True,True,1.09608884597,1.15137614679,0.05528730082000011
warehouse-10-20-10-2-1,50,27,warehouse-10-20-10-2-1-random-27.scen,repair5g_dual_flow_only_050,True,True,1.12468549063,1.12468549063,0.0
warehouse-10-20-10-2-1,50,28,warehouse-10-20-10-2-1-random-28.scen,repair5g_dual_flow_only_050,True,True,1.08400520156,1.08400520156,0.0
warehouse-10-20-10-2-1,50,29,warehouse-10-20-10-2-1-random-29.scen,repair5g_dual_block_wait_cong_flow025,True,True,1.06450734894,1.06450734894,0.0
warehouse-10-20-10-2-1,50,30,warehouse-10-20-10-2-1-random-30.scen,repair5g_dual_c_only_locked_f4,True,True,1.14586894587,1.14586894587,0.0
warehouse-10-20-10-2-1,50,31,warehouse-10-20-10-2-1-random-31.scen,repair5g_dual_c_only_locked_f4,True,True,1.1182328907,1.13151174668,0.013278855979999893
warehouse-10-20-10-2-1,50,32,warehouse-10-20-10-2-1-random-32.scen,repair5g_dual_c_only_locked_f4,True,True,1.04164550533,1.09141696293,0.0497714575999999
warehouse-10-20-10-2-1,50,33,warehouse-10-20-10-2-1-random-33.scen,repair5g_dual_block_wait_cong_flow025,True,True,1.11153071501,1.11153071501,0.0
warehouse-10-20-10-2-1,50,34,warehouse-10-20-10-2-1-random-34.scen,repair5g_dual_flow_only_050,True,True,1.0811965812,1.08344579397,0.0022492127700000086
warehouse-10-20-10-2-1,50,35,warehouse-10-20-10-2-1-random-35.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.08857979502,1.08857979502,0.0
warehouse-10-20-10-2-1,50,36,warehouse-10-20-10-2-1-random-36.scen,repair5g_dual_c_only_locked_f4,True,True,1.09292035398,1.10353982301,0.010619469029999884
warehouse-10-20-10-2-1,50,37,warehouse-10-20-10-2-1-random-37.scen,repair5g_dual_goal_gated_wait_050,True,True,1.04813578186,1.04813578186,0.0
warehouse-10-20-10-2-1,50,38,warehouse-10-20-10-2-1-random-38.scen,repair5g_dual_block_wait_cong_flow050,True,True,1.08183678109,1.15412593771,0.0722891566199999
warehouse-10-20-10-2-1,50,39,warehouse-10-20-10-2-1-random-39.scen,repair5g_dual_block_wait_cong_flow025,True,True,1.08527472527,1.08527472527,0.0
warehouse-10-20-10-2-1,50,40,warehouse-10-20-10-2-1-random-40.scen,repair5g_dual_c_only_locked_f4,True,True,1.07090997096,1.07090997096,0.0
warehouse-10-20-10-2-1,50,41,warehouse-10-20-10-2-1-random-41.scen,repair5g_dual_c_only_locked_f4,True,True,1.08731756417,1.08731756417,0.0
warehouse-10-20-10-2-1,50,42,warehouse-10-20-10-2-1-random-42.scen,repair5g_dual_c_only_locked_f4,True,True,1.05641821946,1.05641821946,0.0
warehouse-10-20-10-2-1,50,43,warehouse-10-20-10-2-1-random-43.scen,repair5g_dual_c_only_locked_f4,True,True,1.09701492537,1.09701492537,0.0
warehouse-10-20-10-2-1,50,44,warehouse-10-20-10-2-1-random-44.scen,repair5g_dual_block_wait_cong_flow050,True,True,1.09078498294,1.09078498294,0.0
warehouse-10-20-10-2-1,50,45,warehouse-10-20-10-2-1-random-45.scen,repair5g_dual_block_wait_cong_flow050,True,True,1.08197582764,1.15606936416,0.07409353651999995
warehouse-10-20-10-2-1,100,26,warehouse-10-20-10-2-1-random-26.scen,repair5g_dual_c_only_locked_f4,True,True,1.15067576609,1.15067576609,0.0
warehouse-10-20-10-2-1,100,27,warehouse-10-20-10-2-1-random-27.scen,repair5g_dual_flow_only_025,True,True,1.19629270992,1.19629270992,0.0
warehouse-10-20-10-2-1,100,28,warehouse-10-20-10-2-1-random-28.scen,repair5g_dual_c_only_best_f4_observed,True,True,1.17033414833,1.17033414833,0.0
warehouse-10-20-10-2-1,100,29,warehouse-10-20-10-2-1-random-29.scen,repair5g_dual_goal_gated_wait_025,True,True,1.16962094355,1.16962094355,0.0
