candidate_id,generated_theta_uid,registry_role,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,replay_phase,method,variant_id,actor_training_seed
g562_g565_fresh_solver_panel_e1_s565_fe2fd7a7a53e,0f381c69c7ba1d642e3059180e61ab55f4fda72ee61916f1231862b6a9b1b128,g562_actor_generated_theta,1.2433531284332275,1.1561495065689087,1.3105957508087158,0.743061900138855,0.7541109323501587,1.0220462083816528,0.7013686895370483,0.9810274243354797,1.0,0.6745405793190002,0.6321067810058594,0.3448808491230011,0.9376640319824219,1.0,10.832612991333008,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_3df74cda4c5f,cf828d61502bda6add3e73f369d6658eabe976aed45a98c3a0eed1197c1c5240,g562_actor_generated_theta,1.2407371997833252,1.1679790019989014,1.2560824155807495,0.7442381978034973,0.7554844617843628,1.041679859161377,0.6975940465927124,0.9805057644844055,1.0,0.6737716197967529,0.6533263921737671,0.3422008156776428,0.8860132694244385,1.0,10.818743705749512,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_678c86ecd077,368c2f000c096cf8ce43fdc67b109f69eec40a84b92ab7d36971c809286bea97,g562_actor_generated_theta,1.2408000230789185,1.168533205986023,1.2558984756469727,0.7442871928215027,0.7553257346153259,1.0414754152297974,0.6974455714225769,0.9804925918579102,1.0,0.6740373969078064,0.6538475751876831,0.34189704060554504,0.884538471698761,1.0,10.818633079528809,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_4b0462bdd8f0,ff7f1f248f3bd01035f76f36a287f1e1e136804959d8210671f62fe9b5efa306,g562_actor_generated_theta,1.240317463874817,1.1697391271591187,1.2574986219406128,0.7428011298179626,0.7547875642776489,1.0413495302200317,0.6976646780967712,0.9805681705474854,1.0,0.6731409430503845,0.6526004076004028,0.34235140681266785,0.8912557363510132,1.0,10.820820808410645,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_6a98519d8d8d,1f4f2d0e1be2bb7767730368e723bffb5f1cec248caa7381a1a1e9bf5de9ac0c,g562_actor_generated_theta,1.243009328842163,1.1566660404205322,1.3078341484069824,0.7425569295883179,0.7541519403457642,1.0241551399230957,0.7007209658622742,0.98101806640625,1.0,0.6734011769294739,0.6324122548103333,0.3452233672142029,0.9392849206924438,1.0,10.833093643188477,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_cdc566d915a4,c7247862f71bb42aa637aa5f7146611ffe844889dc17710a3670b2478a205684,g562_actor_generated_theta,1.2394366264343262,1.1703475713729858,1.260961890220642,0.740407407283783,0.754511833190918,1.0420366525650024,0.6971346735954285,0.9806907176971436,1.0,0.6700689792633057,0.6501300930976868,0.34396567940711975,0.906865656375885,1.0,10.826597213745117,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_764b227b74c6,4a579e4ca38d69ef1b459cb69f40f28035e0bfb6bc19b36b4cb20962d17a4335,g562_actor_generated_theta,1.2407509088516235,1.1678167581558228,1.2563430070877075,0.7442368268966675,0.7554817199707031,1.0416622161865234,0.6976596713066101,0.9805130958557129,1.0,0.6737122535705566,0.6531820297241211,0.3422449231147766,0.8865182399749756,1.0,10.81888198852539,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_2d8e824a3a2c,852fde461fd9a253f29334696bfebe0a2237188e938d4abfb4efc5e84b83b91a,g562_actor_generated_theta,1.239546537399292,1.1687192916870117,1.2636809349060059,0.7402867674827576,0.7545567154884338,1.0420206785202026,0.6975359320640564,0.9807457327842712,1.0,0.6692806482315063,0.6486082077026367,0.3445884883403778,0.9127579927444458,1.0,10.828030586242676,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_812f0683a771,5df520c5d3aee2749a865d767c14876c210a52c15e640261e79b45cb221656b2,g562_actor_generated_theta,1.2408827543258667,1.1696062088012695,1.2566455602645874,0.7441731095314026,0.7547594904899597,1.0405526161193848,0.6979354023933411,0.9805170297622681,1.0,0.6748005151748657,0.6539798378944397,0.34133005142211914,0.8839067220687866,1.0,10.818639755249023,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
g562_g565_fresh_solver_panel_e1_s565_51ed863bbc46,03693cf6b52bbdefa61254614a73b798bdb0333271420a6f9aa2455e9373e4ec,g562_actor_generated_theta,1.2444210052490234,1.1538548469543457,1.3116580247879028,0.7463843822479248,0.7545854449272156,1.0157084465026855,0.7051294445991516,0.9810079336166382,1.0,0.6792095303535461,0.6343687176704407,0.3426367938518524,0.9187889695167542,1.0,10.829627990722656,1,0,0,False,False,False,False,False,g565_fresh_solver_panel,g565_E1_phase5p5_repair5g565_screening_scaling_e1_fold0_all_seed565,E1,565
