theta_id,theta_family,support_strata,safe_positive_support,hard_negative_support,hard_negative_regression_count_vs_static_flow,hard_negative_regression_count_vs_additive,fingerprint_match_rate,support_distance_threshold,utility_mean,utility_CI,forbidden_reason,theta_alpha_cong_commit_progress,theta_alpha_cong_commit_nonprogress,theta_alpha_cong_block,theta_alpha_cong_wait_progress,theta_alpha_cong_wait_nonprogress,theta_alpha_flow_commit_progress,theta_alpha_flow_wait_progress,theta_rho_cong_decay,theta_rho_flow_decay,theta_lambda_cong,theta_lambda_flow,theta_flow_shield_beta,theta_max_flow_shield,theta_min_edge_cost,theta_max_edge_cost,theta_goal_projection_mode_flow_shield,theta_goal_projection_mode_agent_progress,theta_goal_projection_mode_none,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,forbidden_theta
repair5g549_theta_549000026,alpha_cong_commit_nonprogress_sweep,2,6,2,2,2,1,0.05,0.02523441383,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.867889264221,1.25,0.75,0.75,1,1,0.95,1,1.44776010448,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000034,edge_cost_clamp_sweep,2,10,2,2,2,1,0.05,0.025144761122,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.987496025008,9.76162447675,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000036,alpha_cong_commit_nonprogress_sweep,2,8,4,4,4,1,0.05,0.011630081955,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.940595368809,1.25,0.75,0.75,1,1,0.95,1,1.38294223412,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000037,g543_true_near_signal_neighborhood,2,8,2,2,2,1,0.05,0.0141846227175,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.584342231316,0.674843050314,0.569640360719,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000041,static_flow_local_perturbation_fulltheta,2,10,2,0,2,1,0.05,0.0186594109446,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1.08801322397,0.95,1,0.766951466097,0.930081539837,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000043,alpha_flow_wait_progress_sweep,2,4,2,0,2,1,0.05,0.02137500117,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.0308836882326,0.95,1,1,1.06212837574,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000044,edge_cost_clamp_sweep,2,6,2,2,2,1,0.05,0.0253809047567,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.606824536351,8.04043191914,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000046,alpha_cong_commit_nonprogress_sweep,2,16,2,2,2,1,0.05,0.02680149334,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.04222016556,1.25,0.75,0.75,1,1,0.95,1,0.685704628591,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000047,g543_true_near_signal_neighborhood,2,18,2,2,2,1,0.05,0.0348497675654,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.306377987244,0.348352203296,0.910825928348,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000049,surrogate_guided_theta_if_model_exists,2,8,4,2,4,1,0.05,0.022706139385,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.985498579003,1.25,0.75,0.75,1,1,0.95,1,0.897579504841,1.10809728381,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000051,static_flow_local_perturbation_fulltheta,2,10,4,2,4,1,0.05,0.012378396782,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.843471713057,0.95,1,1.13443573113,0.918136163728,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000053,alpha_flow_wait_progress_sweep,2,8,2,2,2,1,0.05,0.01355150652,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1.21565381869,0.95,1,1,1.44530710939,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000054,edge_cost_clamp_sweep,2,6,2,2,2,1,0.05,0.0253809047567,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.821845356309,11.3473413053,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000056,alpha_cong_commit_nonprogress_sweep,2,4,2,0,2,1,0.05,0.01825854662,compact_audit_not_claim,success_regression_vs_additive,1.25,1.64053771892,1.25,0.75,0.75,1,1,0.95,1,1.42621714757,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000057,g543_true_near_signal_neighborhood,2,12,2,0,2,1,0.05,0.0264769655117,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.637876524247,0.55788978422,0.815518368963,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000058,g546_g548_safe_no_gain_neighborhood,2,6,2,0,2,1,0.05,0.0255465595533,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.958090983818,0.95,1,0.952253595493,1,0.35,0.75,0.350687198626,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000059,surrogate_guided_theta_if_model_exists,2,8,2,2,2,1,0.05,0.005188524805,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.956917386165,1.25,0.75,0.75,1,1,0.95,1,1.37452415095,0.755797188406,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000060,negative_control,2,12,2,2,2,1,0.05,0.0193094014983,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.52883494233,0.126319247362,0.35,0.75,1,9.9817000366,0,0,1,False,False,False,False,False,True
repair5g549_theta_549000061,static_flow_local_perturbation_fulltheta,2,2,4,2,4,1,0.05,0.02509907529,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.733877732245,0.95,1,1.29830800338,0.743257513485,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000062,lambda_flow_lambda_cong_sweep,2,14,2,0,2,1,0.05,0.0175990104881,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.18054663891,1.14896020208,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000063,alpha_flow_wait_progress_sweep,2,16,4,2,4,1,0.05,0.0172647385644,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.383789232422,0.95,1,1,0.817345365309,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000064,edge_cost_clamp_sweep,2,8,2,0,2,1,0.05,0.0196396800125,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.839021821956,8.29407941184,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000067,g543_true_near_signal_neighborhood,2,10,4,2,4,1,0.05,0.0278326034342,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.173681452637,0.448190503619,0.802787894424,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000072,lambda_flow_lambda_cong_sweep,2,10,4,2,4,1,0.05,0.02038189533,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.08696282607,0.336758326483,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000073,alpha_flow_wait_progress_sweep,2,8,2,0,2,1,0.05,0.0138288376575,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.0508186483627,0.95,1,1,0.959251081498,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000074,edge_cost_clamp_sweep,2,6,4,2,4,1,0.05,0.02062355281,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.985379529241,11.1733336533,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000078,g546_g548_safe_no_gain_neighborhood,2,8,4,2,4,1,0.05,0.0194900070375,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.517171965656,0.95,1,1.07918729163,1,0.35,0.75,0.330801438397,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000084,edge_cost_clamp_sweep,2,8,2,0,2,1,0.05,0.0169407285825,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.487486275027,11.8619682761,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000087,g543_true_near_signal_neighborhood,2,4,2,0,2,1,0.05,0.02534627384,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.302622794754,0.585582728835,0.594686560627,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000089,surrogate_guided_theta_if_model_exists,2,12,2,0,2,1,0.05,0.0227281443382,compact_audit_not_claim,success_regression_vs_additive,1.25,1.41246802506,1.25,0.75,0.75,1,1,0.95,1,0.828720442559,0.540011219978,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000097,g543_true_near_signal_neighborhood,2,16,2,0,2,1,0.05,0.0398327720431,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.482243235514,0.405330589339,1.09498431003,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000098,g546_g548_safe_no_gain_neighborhood,2,10,2,0,2,1,0.05,0.021854972346,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.226511246978,0.95,1,0.791716916566,1,0.35,0.75,0.255751338497,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000103,alpha_flow_wait_progress_sweep,2,6,2,0,2,1,0.05,0.02256537227,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.334163081674,0.95,1,1,0.922987154026,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000104,edge_cost_clamp_sweep,2,10,2,0,2,1,0.05,0.019901949314,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.314958870082,11.9022521955,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000107,g543_true_near_signal_neighborhood,2,2,2,0,2,1,0.05,0.01807802093,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.104860790278,0.662328075344,0.56052487895,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000108,g546_g548_safe_no_gain_neighborhood,2,14,2,0,2,1,0.05,0.0207335260029,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.281910636179,0.95,1,0.759365831268,1,0.35,0.75,0.318301613397,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000109,surrogate_guided_theta_if_model_exists,2,8,2,0,2,1,0.05,0.0169518585775,compact_audit_not_claim,success_regression_vs_additive,1.25,1.46559121882,1.25,0.75,0.75,1,1,0.95,1,1.06985996028,0.976638746723,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000111,static_flow_local_perturbation_fulltheta,2,16,2,0,2,1,0.05,0.025321435125,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.875701848596,0.95,1,0.797952804094,1.01410777178,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000113,alpha_flow_wait_progress_sweep,2,6,2,0,2,1,0.05,0.02256537227,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.352526794946,0.95,1,1,0.805039389921,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000116,alpha_cong_commit_nonprogress_sweep,2,16,2,0,2,1,0.05,0.0276877656087,compact_audit_not_claim,success_regression_vs_additive,1.25,1.4846980306,1.25,0.75,0.75,1,1,0.95,1,0.627862744275,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000117,g543_true_near_signal_neighborhood,2,16,2,0,2,1,0.05,0.0320537244613,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.557564684871,0.476743446513,0.958081083838,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000118,g546_g548_safe_no_gain_neighborhood,2,10,2,0,2,1,0.05,0.023506423602,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,0.769460361079,0.95,1,1.01476072048,1,0.35,0.75,0.262353525293,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000121,static_flow_local_perturbation_fulltheta,2,10,4,2,4,1,0.05,0.035226038552,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1.13826612347,0.95,1,0.802621994756,1.08757762484,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000123,alpha_flow_wait_progress_sweep,2,8,2,2,2,1,0.05,0.02009355558,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.916139417721,0.95,1,1,0.259275981448,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000124,edge_cost_clamp_sweep,2,10,2,2,2,1,0.05,0.019035275478,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.367641014718,9.83655632689,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000130,negative_control,2,2,2,2,2,1,0.05,0.02862175253,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.42322815354,0.961396077208,0.35,0.75,1,8.45884308231,0,0,1,False,False,False,False,False,True
repair5g549_theta_549000132,lambda_flow_lambda_cong_sweep,2,2,2,0,2,1,0.05,0.06472919418,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.48551302897,0.808535882928,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000133,alpha_flow_wait_progress_sweep,2,6,2,2,2,1,0.05,0.02295896831,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.0388999222002,0.95,1,1,1.11782476435,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000136,alpha_cong_commit_nonprogress_sweep,2,2,2,2,2,1,0.05,0.00352267723,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.778701942596,1.25,0.75,0.75,1,1,0.95,1,1.34907430185,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000137,g543_true_near_signal_neighborhood,2,18,2,0,2,1,0.05,0.0412419106722,compact_audit_not_claim,success_regression_vs_additive,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.257266085468,0.592979214042,1.10038654923,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000139,surrogate_guided_theta_if_model_exists,2,10,2,0,2,1,0.05,0.01548801951,compact_audit_not_claim,success_regression_vs_additive,1.25,0.711865426269,1.25,0.75,0.75,1,1,0.95,1,0.833129233742,0.660651778696,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000141,static_flow_local_perturbation_fulltheta,2,14,2,2,2,1,0.05,0.0193721535543,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1.19820780358,0.95,1,0.962180875638,1.08096443807,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000142,lambda_flow_lambda_cong_sweep,2,6,2,2,2,1,0.05,0.00821725665,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.21176557647,0.953674092652,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000144,edge_cost_clamp_sweep,2,14,4,4,4,1,0.05,0.0189070058271,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.667846664307,8.24987150026,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000145,goal_projection_mode_ablation,2,14,4,4,4,1,0.05,0.0189070058271,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.437804124392,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000146,alpha_cong_commit_nonprogress_sweep,2,4,2,2,2,1,0.05,0.00430065694,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.67443265113,1.25,0.75,0.75,1,1,0.95,1,1.43747212506,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000147,g543_true_near_signal_neighborhood,2,14,2,2,2,1,0.05,0.0221713367586,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,0.473031253937,0.649997600005,0.741380267239,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000149,surrogate_guided_theta_if_model_exists,2,14,2,2,2,1,0.05,0.0154388571814,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.20921388157,1.25,0.75,0.75,1,1,0.95,1,1.00669528661,0.871209357581,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000150,negative_control,2,14,2,2,2,1,0.05,0.0311878940243,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.38213123574,1.37166175668,0.35,0.75,1,8.86696226608,0,0,1,False,False,False,False,False,True
repair5g549_theta_549000151,static_flow_local_perturbation_fulltheta,2,10,2,2,2,1,0.05,0.016313495556,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.830462539075,0.95,1,1.12500734999,0.711401777196,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000152,lambda_flow_lambda_cong_sweep,2,12,2,2,2,1,0.05,0.02110008172,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.0482489035,0.683374633251,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000153,alpha_flow_wait_progress_sweep,2,10,4,4,4,1,0.05,0.014629534514,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.419825410349,0.95,1,1,0.198416603167,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000154,edge_cost_clamp_sweep,2,14,4,4,4,1,0.05,0.0189070058271,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.535427679145,11.1208937582,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000156,alpha_cong_commit_nonprogress_sweep,2,18,2,2,2,1,0.05,0.0300162053733,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.69927635145,1.25,0.75,0.75,1,1,0.95,1,0.637211725577,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000158,g546_g548_safe_no_gain_neighborhood,2,12,2,2,2,1,0.05,0.0265997401817,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.332967534065,0.95,1,0.950416049168,1,0.35,0.75,0.268998062004,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000162,lambda_flow_lambda_cong_sweep,2,8,2,2,2,1,0.05,0.01621643018,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1.03053693893,0.320802858394,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000163,alpha_flow_wait_progress_sweep,2,8,2,2,2,1,0.05,0.0213836680525,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.0386161727677,0.95,1,1,0.804475391049,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000164,edge_cost_clamp_sweep,2,14,2,2,2,1,0.05,0.01712822298,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.857991534017,11.8357683285,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000166,alpha_cong_commit_nonprogress_sweep,2,4,4,4,4,1,0.05,0.013465700965,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.49892175216,1.25,0.75,0.75,1,1,0.95,1,1.16752866494,1,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000169,surrogate_guided_theta_if_model_exists,2,2,2,2,2,1,0.05,0.00278293135,compact_audit_not_claim,success_regression_vs_static_flow,1.25,0.899636850726,1.25,0.75,0.75,1,1,0.95,1,1.39969130062,0.71943486113,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000171,static_flow_local_perturbation_fulltheta,2,6,2,2,2,1,0.05,0.0182652205833,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.751757696485,0.95,1,1.12098435803,0.859023081954,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000173,alpha_flow_wait_progress_sweep,2,10,2,2,2,1,0.05,0.02256541215,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.803360893278,0.95,1,1,0.493376013248,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000174,edge_cost_clamp_sweep,2,14,2,2,2,1,0.05,0.01712822298,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,1,1,0.35,0.75,0.848808552383,11.9460321079,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000178,g546_g548_safe_no_gain_neighborhood,2,16,2,2,2,1,0.05,0.017793635055,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,0.748827002346,0.95,1,0.820256409487,1,0.35,0.75,0.532851784296,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000179,surrogate_guided_theta_if_model_exists,2,2,2,2,2,1,0.05,0.0183908046,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.17208595583,1.25,0.75,0.75,1,1,0.95,1,1.24607640785,1.1517975964,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
repair5g549_theta_549000182,lambda_flow_lambda_cong_sweep,2,10,2,2,2,1,0.05,0.021392285198,compact_audit_not_claim,success_regression_vs_static_flow,1.25,1.25,1.25,0.75,0.75,1,1,0.95,1,0.910611178778,0.0447194105612,0.35,0.75,1,11,1,0,0,False,False,False,False,False,True
