f4_mean_rank,candidate_id,rows,better,equal,worse,better_minus_worse,mean_delta_ratio_vs_ltm,median_delta_ratio_vs_ltm,bootstrap_95ci_mean_delta_ratio_vs_ltm,bootstrap_probability_mean_delta_lt_0,ratio_worse_than_ltm_groups,success_worse_than_ltm_groups,success_regressions,success_improvements,worst_group,worst_group_mean_delta_ratio_vs_ltm,best_group,best_group_mean_delta_ratio_vs_ltm,is_locked_f4_candidate,is_component_candidate
11,c100_b100_w125_d095,120,23,69,28,-5,-0.0008826989915166709,0.0,"[-0.004172900220083333, 0.002328212757149987]",0.698,2,0,0,0,maze-32-32-4|a100,0.006360901414999986,random-32-32-20|a100,-0.007703208107300019,False,False
12,c100_b100_w050_d100,120,24,73,23,1,-0.0008535900156916678,0.0,"[-0.003448511029883337, 0.0015798219692833312]",0.7464,1,1,3,0,random-32-32-20|a50,0.0010795664280000006,random-32-32-20|a100,-0.003277136690650001,False,False
13,c100_b100_w075_d100,120,25,72,23,2,-0.0008398811590833434,0.0,"[-0.0036573371279500057, 0.0018208249983166596]",0.727,2,1,1,0,random-32-32-20|a50,0.00030437262949999376,random-32-32-20|a100,-0.005163833772650017,False,True
14,c125_b075_w125_d095,120,26,68,26,0,-0.0008370722397333469,0.0,"[-0.003980984795933339, 0.00202856055091666]",0.6972,2,0,0,0,random-32-32-20|a100,0.002559126622699992,warehouse-10-20-10-2-1|a50,-0.004166618978000003,False,False
15,c100_b075_w100_d100,120,19,75,26,-7,-0.0007223663832166698,0.0,"[-0.003441696909466672, 0.0017761401703]",0.7012,2,1,6,0,random-32-32-20|a100,0.0025024587521999984,maze-32-32-4|a100,-0.0037152157260000205,False,False
16,c150_b100_w100_d100,120,25,70,25,0,-0.000715916997775005,0.0,"[-0.00330261849080834, 0.001858013709174991]",0.7064,2,1,2,0,maze-32-32-4|a100,0.002826069920999974,random-32-32-20|a100,-0.007276160203100013,False,False
17,c100_b075_w100_d090,120,25,71,24,1,-0.0006246295071416746,0.0,"[-0.0038452275490083406, 0.002279193068266651]",0.6474,3,0,0,0,random-32-32-20|a100,0.004715269222099994,maze-32-32-4|a100,-0.0051376910955000295,False,False
18,c050_b100_w100_d100,120,24,68,28,-4,-0.0006168035555666696,0.0,"[-0.0034376844489666714, 0.001980804082799988]",0.6584,2,1,3,0,maze-32-32-4|a100,0.0024669053509999927,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
19,c100_b100_w125_d090,120,30,68,22,8,-0.0005736743109333374,0.0,"[-0.003657553626725003, 0.0025057351867083253]",0.645,2,0,0,0,maze-32-32-4|a100,0.002566996873999983,warehouse-10-20-10-2-1|a50,-0.007319134656999992,False,False
20,c100_b125_w100_d095,120,32,70,18,14,-0.0004955007459750064,0.0,"[-0.0038838510936000104, 0.0029677729744416533]",0.6004,3,1,2,0,maze-32-32-4|a100,0.009509101027499989,warehouse-10-20-10-2-1|a50,-0.007319134656999992,False,False
21,c100_b100_w100_d095,120,26,73,21,5,-0.0004793994433083343,0.0,"[-0.00267265638743334, 0.001649922823116662]",0.6658,3,1,3,0,random-32-32-20|a50,0.0008642348174999981,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,True
22,c075_b075_w125_d095,120,19,73,28,-9,-0.00045423041719167185,0.0,"[-0.0032185788978250046, 0.0020887515593666804]",0.616,3,0,0,0,maze-32-32-4|a100,0.0029307879359999787,warehouse-10-20-10-2-1|a50,-0.006655191857999998,False,False
23,c125_b100_w100_d090,120,25,66,29,-4,-0.0003894054206250025,0.0,"[-0.0035520633617416707, 0.0025078111687499923]",0.587,3,0,0,0,maze-32-32-4|a50,0.0015452594742499993,random-32-32-20|a100,-0.002945766995500021,False,False
24,c125_b100_w100_d095,120,24,65,31,-7,-0.0003394449872416753,0.0,"[-0.0035279569890500017, 0.002670242331008321]",0.5774,1,0,0,0,maze-32-32-4|a100,0.005423840053999973,warehouse-10-20-10-2-1|a50,-0.004554769615999987,False,False
25,c100_b075_w075_d100,120,21,74,25,-4,-0.00024972454347500507,0.0,"[-0.0026738516811083387, 0.0019147486035249951]",0.561,3,1,2,0,maze-32-32-4|a50,0.0020190430032499705,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
26,c075_b100_w075_d100,120,24,70,26,-2,-0.00018046091295833937,0.0,"[-0.002552113425150008, 0.0019230890222416623]",0.5396,2,1,3,0,maze-32-32-4|a100,0.003792043819999991,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
27,c100_b100_w075_d090,120,27,64,29,-2,-0.00015061684843334182,0.0,"[-0.0037633233704000143, 0.003852083727566648]",0.5444,2,0,0,0,maze-32-32-4|a100,0.004295558684499967,warehouse-10-20-10-2-1|a50,-0.004166618978000003,True,True
28,c075_b125_w100_d090,120,24,71,25,-1,-0.00013559981692500277,0.0,"[-0.0029834983715499954, 0.0027709797331499975]",0.5384,1,0,0,0,maze-32-32-4|a100,0.005685511177499991,warehouse-10-20-10-2-1|a50,-0.004442308977499987,False,False
29,c075_b100_w125_d090,120,20,71,29,-9,-6.24148713999989e-05,0.0,"[-0.003115712057883324, 0.002657235638499992]",0.4986,3,0,0,0,maze-32-32-4|a100,0.0037735858900000085,warehouse-10-20-10-2-1|a50,-0.007319134656999992,False,False
30,c125_b100_w100_d100,120,21,70,29,-8,-4.0897659408337116e-05,0.0,"[-0.002684622305366665, 0.002617758600716652]",0.504,2,1,2,0,maze-32-32-4|a100,0.0032281645679999916,maze-32-32-4|a50,-0.0026021551769499995,False,False
31,c075_b075_w100_d100,120,23,72,25,-2,1.6504132449994084e-05,0.0,"[-0.003047016242050003, 0.003076077177683327]",0.481,2,1,3,0,maze-32-32-4|a50,0.005757266424849983,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
32,additive_ltm,120,1,118,1,0,5.6195863083334056e-05,0.0,"[-0.0018072289154999976, 0.0019758165047499996]",0.3386,1,1,4,0,maze-32-32-4|a100,0.003951633009499999,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
33,c075_b100_w100_d095,120,21,71,28,-7,5.7955372766660404e-05,0.0,"[-0.0031437498463333397, 0.0032813520373999984]",0.4866,3,0,0,0,maze-32-32-4|a50,0.0029839085353999817,warehouse-10-20-10-2-1|a50,-0.004166618978000003,False,False
34,c100_b150_w100_d100,120,22,71,27,-5,0.00027815369634166256,0.0,"[-0.0020413630132666764, 0.0024561497173416573]",0.3988,4,1,3,0,maze-32-32-4|a100,0.002555433538499985,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
35,c075_b100_w125_d100,120,21,74,25,-4,0.000299682389274993,0.0,"[-0.0025505267310250027, 0.003073560421583323]",0.4174,3,1,3,0,maze-32-32-4|a100,0.0071079026139999725,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
36,c125_b075_w100_d100,120,26,70,24,2,0.0003362410282750009,0.0,"[-0.001764165458924997, 0.0024844983801166677]",0.3754,3,1,2,0,maze-32-32-4|a50,0.002033181454449995,random-32-32-20|a100,-0.0006339015297999962,False,False
37,c075_b125_w125_d095,120,24,68,28,-4,0.0003520447478916574,0.0,"[-0.0030537813926000117, 0.003688779111399992]",0.4124,2,0,0,0,maze-32-32-4|a100,0.005713181819499968,warehouse-10-20-10-2-1|a50,-0.002066196735999992,False,False
38,c100_b125_w100_d090,120,21,67,32,-11,0.00039754316220833307,0.0,"[-0.002439060247550005, 0.00314756129073334]",0.3832,3,0,0,0,maze-32-32-4|a100,0.007143067775999989,warehouse-10-20-10-2-1|a50,-0.004166618978000003,False,False
39,c100_b075_w125_d090,120,17,72,31,-14,0.0004248911980833288,0.0,"[-0.002659429328950001, 0.003302359478749996]",0.379,3,0,0,0,maze-32-32-4|a100,0.005243393196000002,warehouse-10-20-10-2-1|a50,-0.007319134656999992,False,False
40,c100_b100_w150_d100,120,22,70,28,-6,0.0004953222679333263,0.0,"[-0.0023861477170666686, 0.003392853646183332]",0.3644,3,1,5,0,maze-32-32-4|a100,0.007205318018999973,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
41,c075_b125_w100_d100,120,27,70,23,4,0.0005775634770916563,0.0,"[-0.0016561934048500168, 0.003066697633974998]",0.3234,3,1,2,0,maze-32-32-4|a100,0.005210662959499979,maze-32-32-4|a50,-0.002582851060700031,False,False
42,c100_b075_w125_d100,120,22,71,27,-5,0.0006912688643166603,0.0,"[-0.002443884249433335, 0.003786908798474996]",0.3252,4,0,0,0,maze-32-32-4|a100,0.0060777494125,warehouse-10-20-10-2-1|a50,-0.004830561776999998,False,False
43,c125_b100_w125_d100,120,23,74,23,0,0.0007221001123250008,0.0,"[-0.0016389051599250027, 0.0033088521033250015]",0.2954,4,1,1,0,maze-32-32-4|a100,0.002804147960999992,warehouse-10-20-10-2-1|a50,0.0,False,False
44,c100_b100_w125_d100,120,25,73,22,3,0.0007919680350000004,0.0,"[-0.0017130529946499985, 0.0034646348167166664]",0.2622,3,1,3,0,maze-32-32-4|a100,0.007392930238499984,warehouse-10-20-10-2-1|a50,-0.003614457830999995,False,False
45,c100_b125_w125_d100,120,28,67,25,3,0.0008606918027333294,0.0,"[-0.0031344806003333393, 0.005068956607016665]",0.3486,1,0,0,0,maze-32-32-4|a100,0.012839404793499997,warehouse-10-20-10-2-1|a50,-0.006655191857999998,False,False
46,c100_b050_w100_d100,120,22,76,22,0,0.0013432987233749924,0.0,"[-0.0018975025447333408, 0.005204894028274987]",0.2354,3,1,2,0,maze-32-32-4|a100,0.008000087453499994,random-32-32-20|a100,-0.001715116559600016,False,False
47,c075_b100_w100_d100,120,22,72,26,-4,0.002073320156858324,0.0,"[-0.00038264967823334973, 0.004669016822108325]",0.0512,3,1,2,0,maze-32-32-4|a100,0.010890935718999984,random-32-32-20|a100,-0.0028657768973000043,False,False
