g543_stage1_row_id,context_budget_iteration_key,context_key,role,planned_candidate_id,planned_method,materialized_candidate_id,materialization_source,raw_solver_result_id,source_round,commit,branch,dirty_state,binary_path,method,method_alias,candidate_id,update_params_fingerprint,map,map_family,agents,seed,budget_ms,ltm_max_iterations,iteration,solution_found,sum_of_loss_ratio,time_to_first_solution,expanded_nodes,high_level_expansions,low_level_pibt_calls,trace_event_count,pibt_failure_audit_count,traffic_before_hash,traffic_after_hash,raw_checkpoint_source,trace_backend,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g543_stage1_00000020,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,best_fixed_static_goal_aware,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000682,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_high_beta_cap_safe,repair5g59_high_beta_cap_safe__b1000__i2,repair5g59_high_beta_cap_safe,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,256,213,213,10550,11249,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000021,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,frozen_family_static_goal_aware,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000680,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_low_beta_high_cap,repair5g59_low_beta_high_cap__b1000__i2,repair5g59_low_beta_high_cap,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,268,225,225,11150,11967,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000022,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,pareto_static_lattice,repair5g59_static_flow_shield,repair5g59_static_flow_shield,repair5g59_static_flow_shield,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000684,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g59_static_flow_shield,repair5g59_static_flow_shield__b1000__i2,repair5g59_static_flow_shield,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,341,218,218,10800,11522,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000023,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_003,repair5g543_pareto_overlay_conservative_003,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p4_max0p5_c0,repair5g543_pareto_overlay_conservative_003,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000687,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p4_max0p5_c0,repair5g543_pareto_overlay_conservative_003__b1000__i2,repair5g543_pareto_overlay_conservative_003,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,346,214,214,10600,11297,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000024,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_004,repair5g543_pareto_overlay_conservative_004,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p4_max0p75_c0,repair5g543_pareto_overlay_conservative_004,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000683,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p95_df1p00_beta0p4_max0p75_c0,repair5g543_pareto_overlay_conservative_004__b1000__i2,repair5g543_pareto_overlay_conservative_004,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.16975023127,272,211,211,10450,11145,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000025,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_005,repair5g543_pareto_overlay_conservative_005,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p5_c0,repair5g543_pareto_overlay_conservative_005,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000686,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p5_c0,repair5g543_pareto_overlay_conservative_005__b1000__i2,repair5g543_pareto_overlay_conservative_005,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,346,214,214,10600,11270,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000026,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_006,repair5g543_pareto_overlay_conservative_006,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p75_c0,repair5g543_pareto_overlay_conservative_006,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000685,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p25_max0p75_c0,repair5g543_pareto_overlay_conservative_006__b1000__i2,repair5g543_pareto_overlay_conservative_006,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,334,208,208,10300,11001,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000027,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_007,repair5g543_pareto_overlay_conservative_007,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p4_max0p5_c0,repair5g543_pareto_overlay_conservative_007,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000688,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p4_max0p5_c0,repair5g543_pareto_overlay_conservative_007__b1000__i2,repair5g543_pareto_overlay_conservative_007,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,307,214,214,10600,11297,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000028,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_008,repair5g543_pareto_overlay_conservative_008,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p4_max0p75_c0,repair5g543_pareto_overlay_conservative_008,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000689,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p65_dc0p98_df1p00_beta0p4_max0p75_c0,repair5g543_pareto_overlay_conservative_008__b1000__i2,repair5g543_pareto_overlay_conservative_008,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.16975023127,293,211,211,10450,11145,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000029,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_009,repair5g543_pareto_overlay_conservative_009,repair5g518_grid_c1p15_b1p15_f1p00_w0p85_dc0p95_df1p00_beta0p25_max0p5_c0,repair5g543_pareto_overlay_conservative_009,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000690,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p85_dc0p95_df1p00_beta0p25_max0p5_c0,repair5g543_pareto_overlay_conservative_009__b1000__i2,repair5g543_pareto_overlay_conservative_009,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,290,213,213,10550,11232,,,,,real_solver_trace,False,False,False,False,False
g543_stage1_00000030,maze-32-32-4|50|1106|1000|final,maze-32-32-4|50|1106|1000,candidate::repair5g543_pareto_overlay_conservative_010,repair5g543_pareto_overlay_conservative_010,repair5g518_grid_c1p15_b1p15_f1p00_w0p85_dc0p95_df1p00_beta0p25_max0p75_c0,repair5g543_pareto_overlay_conservative_010,new_g543_stage1_real_solver_execution,g543_stage1_raw_00000691,g543_stage1_real_solver_execution_final_run,8ae6ae7,codex/g531-slice-pilot,tracked-dirty_untracked-present,C:\PROGRAMING\czr004\build\phase1a-batch\phase1a_batch.exe,repair5g518_grid_c1p15_b1p15_f1p00_w0p85_dc0p95_df1p00_beta0p25_max0p75_c0,repair5g543_pareto_overlay_conservative_010__b1000__i2,repair5g543_pareto_overlay_conservative_010,,maze-32-32-4,maze,50,1106,1000,2,final,True,1.17576318224,271,208,208,10300,10996,,,,,real_solver_trace,False,False,False,False,False
