acquisition_row_id,g560_evaluation_uid,split,map,map_family,agent_count,seed,budget_ms,positive_rows,harmful_rows,censored_rows,best_positive_quality_delta_vs_g556,worst_harmful_quality_delta_vs_g556,frontier_priority_score,targeted_design_reason,requires_new_exact_materialization,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,frontier_rank
g562_frontier_00000368,4a48b1fccdd18fb1167f3af19be2c981b13e890a74f68904fe9cd951a796a1fa,validation,random-32-32-20,random,256,7293,1000,2,62,0,-0.12903603182000012,11.83294337858,12.9619794104,positive_frontier_and_boundary,True,False,False,False,False,False,26
g562_frontier_00000466,601932baf416e1cf37bf127463e37bfa845bb8f4f69be432988ad2fa41403030,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8238,2000,38,26,0,-5.36150524368,5.70388648981,12.06539173349,positive_frontier_and_boundary,True,False,False,False,False,False,27
g562_frontier_00000086,10534f283b374634bb0bc7a79578baec708874920842cb797e893bf6f23fe462,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7446,2000,26,38,0,-1.20090548953,9.68817204296,11.889077532489999,positive_frontier_and_boundary,True,False,False,False,False,False,28
g562_frontier_00000265,33fb7913abd3ebc1d16c3cf32c7b0e0e4c5e045f472a4740375788b77de3d3d1,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7758,2000,3,61,0,-0.7782581840599998,7.561457689920001,9.339715873980001,positive_frontier_and_boundary,True,False,False,False,False,False,29
g562_frontier_00000325,3f906a193fb006bc49e5f856f2c7663b6ef27b4857b9ce568b17f9e7f6d5953f,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7038,2000,40,24,0,-2.5668711656400003,5.20736196319,8.774233128830002,positive_frontier_and_boundary,True,False,False,False,False,False,30
g562_frontier_00000251,30fb32174746d38237e0ad720cde514ea221909d34d58017049eac44e7d49638,train,empty-8-8,empty,16,7192,500,16,48,0,-0.48091603053,6.45038167939,7.931297709920001,positive_frontier_and_boundary,True,False,False,False,False,False,31
g562_frontier_00000026,056d656a245583c4d084119a1a50554602fa4eee80dfc3bb5ad9a82e5decc251,train,g559-synth-tree-42,irregular_bottleneck,256,8985,1000,29,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,32
g562_frontier_00000099,136a3a7e783d70c2cf393818495add8f2d9ad94025896b1da86d634ab1a6457d,validation,random-32-32-20,random,256,8973,1000,29,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,33
g562_frontier_00000124,17978f8a85c35f257ab5081f234ce8451a391f7d38f130c5774f597683acc9e4,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7278,2000,34,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,34
g562_frontier_00000162,1e2d2ee3fb86dffd0e167fdcf0d73d610090dd75067201042eef0069fe8f2fe1,validation,random-32-32-20,random,256,8253,1000,18,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,35
g562_frontier_00000194,22ff9db2cf87bd6d1bd637c8fca094ae46936a58887607a1f4c0a3cc7474fcdf,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8958,2000,10,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,36
g562_frontier_00000262,32b096cb3e91b195035427ee9a21ba42d1c0c2ffdf65658eca214e3e4d9f5110,heldout,g559-synth-string-40,irregular_bottleneck,128,8360,500,53,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,37
g562_frontier_00000308,3d9539f70e02863ca991a670f7feab53b9f75708d4aff5896db226c79077e174,train,g559-synth-tree-42,irregular_bottleneck,256,7545,1000,33,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,38
g562_frontier_00000354,472a7caa974d30ce61faad170bb37994a4bf339efc7e067b6f76c1373dddefa6,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8478,2000,42,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,39
g562_frontier_00000406,52e4c4fb14365e617d36cda050276a889b388323fe8cc92e5d2d9bd1a607a9ae,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7662,2000,7,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,40
g562_frontier_00000411,53c26a04e2b212ecf86530f149d6c08c01c8be8715560938dad847302bd94a54,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8646,2000,16,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,41
g562_frontier_00000504,6548c1e415e97e4317201024b2a39925fc86b54d0c6d064b906a7f6dd8b4bd9c,train,g559-synth-corners-34,irregular_bottleneck,32,7157,1000,7,0,64,0.0,,7.4,positive_frontier,True,False,False,False,False,False,42
g562_frontier_00000322,3f56931a95ce064423885b2471d95aec9755f55b3692dde1ed6f900ddbeddf05,train,empty-8-8,empty,16,8848,500,24,39,0,-0.50757575757,5.303030303030001,6.8106060606000005,positive_frontier_and_boundary,True,False,False,False,False,False,43
g562_frontier_00000145,1bc7b4462bdfb761339f1ceeae336d0b4eb79309c296cee04e2f55bcce40502b,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7326,2000,25,39,0,-1.21261160715,4.5920758928500005,6.8046875,positive_frontier_and_boundary,True,False,False,False,False,False,44
g562_frontier_00000372,4acc7b1cbecdf5d243a875a45b910dcaad671dd11303f6b4f9028c5647da37ea,train,empty-8-8,empty,16,7336,500,43,21,0,-0.9661016949199999,4.17796610169,6.14406779661,positive_frontier_and_boundary,True,False,False,False,False,False,45
g562_frontier_00000470,605c876b42d830d9d3dc501c643f38b9bec4c561289159ec781b80d0a1ca4f89,train,empty-8-8,empty,16,8176,500,14,50,0,-0.3524590164000001,4.68032786885,6.03278688525,positive_frontier_and_boundary,True,False,False,False,False,False,46
g562_frontier_00000038,0795c0a4f56e18d976527c123ae9daa2006533a1819491d7b4155401bbb2d617,train,random-8-8-20,random,32,7435,5000,28,36,0,-1.6187500000000004,2.98125,5.6000000000000005,positive_frontier_and_boundary,True,False,False,False,False,False,47
g562_frontier_00000327,402179d4db2cf62139c811b839e40678020ae5ab5e9429894bdd26a7b08e6937,train,random-8-8-20,random,32,7555,5000,33,29,0,-0.9763313609400002,3.56213017752,5.53846153846,positive_frontier_and_boundary,True,False,False,False,False,False,48
g562_frontier_00000033,06d281b99339bf390b6f0ff8bdd5a764f5f80ee8aec25b993c175f61ed911a66,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8286,2000,8,56,0,-0.19580022701999988,4.098751418839999,5.294551645859999,positive_frontier_and_boundary,True,False,False,False,False,False,49
g562_frontier_00000106,14880caa7bda6a25985e65b4e437c2db2297be1db1bf8397a62a11b85f4669ac,train,g559-synth-game-lak-32,game,256,8991,5000,3,61,0,-0.07427025807999987,4.14290544348,5.21717570156,positive_frontier_and_boundary,True,False,False,False,False,False,50
g562_frontier_00000211,27cb317ad2a02b26d8003e34153ae6817a1b212adcd2171bf64051d1e1ad400a,train,random-8-8-20,random,32,7795,5000,7,57,0,-0.6767676767699999,3.10101010101,4.77777777778,positive_frontier_and_boundary,True,False,False,False,False,False,51
g562_frontier_00000155,1ccd3a405dc602c3cec67563f31d99498bd5902a0a5efb1a7c9d016672f5da0a,train,random-8-8-20,random,32,8875,5000,7,57,0,-0.3076923077,3.4395604395599997,4.747252747259999,positive_frontier_and_boundary,True,False,False,False,False,False,52
g562_frontier_00000006,01aec451146f62e2ae6a035fb24c66aa16f1d70b384e141ea2ae2205b51a5e41,train,random-8-8-20,random,32,7195,5000,5,59,0,-0.2931034482800001,3.3908045977,4.68390804598,positive_frontier_and_boundary,True,False,False,False,False,False,53
g562_frontier_00000337,43a622b7fc708da9135a5fbbebea381564772664d094a08638bd1391dbeb6a4b,train,random-8-8-20,random,32,8155,5000,5,59,0,-0.7458563535899998,2.85635359116,4.602209944749999,positive_frontier_and_boundary,True,False,False,False,False,False,54
g562_frontier_00000225,2ba83f713590dbc9021b32d333931d7fa96cd391bb9a6d472650e5ff0c052e11,train,empty-8-8,empty,16,7048,500,27,34,0,-0.29770992367000004,3.1984732824399997,4.4961832061099996,positive_frontier_and_boundary,True,False,False,False,False,False,55
g562_frontier_00000499,64d8da2782df7aa5031b45c704df1c679fd9f3b73af75a7c40cc54e5c943232c,train,random-8-8-20,random,32,8515,5000,27,37,0,-0.7044334975399997,2.64532019704,4.34975369458,positive_frontier_and_boundary,True,False,False,False,False,False,56
g562_frontier_00000031,065c0b8d52ec0ff9551809c8d979d898d48bf895f91adf10de2252fda95c8258,train,random-8-8-20,random,32,8395,5000,23,41,0,-0.859375,2.46354166666,4.322916666659999,positive_frontier_and_boundary,True,False,False,False,False,False,57
g562_frontier_00000139,1a2bfa32c8e73b8c4b2b31752165a01e8d7600fc9355d552985b73f562a2267b,train,empty-8-8,empty,16,7096,500,19,43,0,-0.14754098361000012,3.1229508196699998,4.27049180328,positive_frontier_and_boundary,True,False,False,False,False,False,58
g562_frontier_00000081,0f5a538c1227796db838ed929ca051a4236739c60f008871e13ae6636af2d851,train,g559-synth-loop-chain-36,irregular_bottleneck,64,8766,2000,2,62,0,-0.04574042310000004,3.0754716981100003,4.12121212121,positive_frontier_and_boundary,True,False,False,False,False,False,59
g562_frontier_00000184,218342a4a2b0ac2e3b834ce08708d2b3d0c0ef788cd74001c37a7692c9bac547,train,g559-synth-game-lak-32,game,256,7311,5000,21,43,0,-0.39252336449000014,2.60094583943,3.99346920392,positive_frontier_and_boundary,True,False,False,False,False,False,60
g562_frontier_00000472,60a778247ad81bbf0dd92e01f8e2927635869d89bb253c621bba25ae5cf4c479,train,g559-synth-game-lak-32,game,256,8511,5000,0,64,0,,3.9585200505600002,3.9585200505600002,unsafe_boundary,True,False,False,False,False,False,61
g562_frontier_00000045,09ec48c9532d0d4e1de239e64e029f2477c4f3cfeccf3bae771701921623e263,train,g559-synth-game-lak-32,game,256,8391,5000,19,45,0,-0.40025051242,2.5571623775899996,3.9574128900099996,positive_frontier_and_boundary,True,False,False,False,False,False,62
g562_frontier_00000056,0b8bef2b9ba6c7d0a3bf4c88b651504fb6fe61a7a3a426724b3ffa63d4aa96d8,train,empty-8-8,empty,16,7528,500,45,18,0,-0.5447761194,2.37313432836,3.9179104477599997,positive_frontier_and_boundary,True,False,False,False,False,False,63
g562_frontier_00000230,2c4932c16cccb82c54924f00e5131cc519c3611fed427b1ecf400718558d9f9a,train,empty-8-8,empty,16,7888,500,32,32,0,-0.30833333334,2.3666666666599996,3.675,positive_frontier_and_boundary,True,False,False,False,False,False,64
g562_frontier_00000279,37a06d1ff6eeb78b5c6ef17ee31027c07370205c1fd14dc463f26a710f57373c,train,empty-8-8,empty,16,8008,500,38,25,0,-0.42399999999999993,2.24,3.664,positive_frontier_and_boundary,True,False,False,False,False,False,65
g562_frontier_00000154,1ca54df34f729d58d8305fbec3fc274d5ce475fe377469e57389ea3896e9a71f,train,g559-synth-game-lak-32,game,256,7911,5000,1,63,0,-0.011994002999999864,2.54019144274,3.5521854457399997,positive_frontier_and_boundary,True,False,False,False,False,False,66
g562_frontier_00000276,372bfadcb078f77eba3e52475fa232634ff17e9fb93d4b8145e3be0cbad883ce,heldout,g559-synth-string-40,irregular_bottleneck,128,8480,500,14,49,0,-0.12266887691999995,2.03273932863,3.1554082055499997,positive_frontier_and_boundary,True,False,False,False,False,False,67
g562_frontier_00000077,0e99667b210dee513b1563943acdd6a1ceb2aa6e939551f14265bf8c1710c135,train,g559-synth-game-lak-32,game,256,8271,5000,36,28,0,-0.52079049578,1.5838473840499998,3.10463787983,positive_frontier_and_boundary,True,False,False,False,False,False,68
g562_frontier_00000481,626a8f49e01d9c629c27d04a7f09ef05f780a501f33223f089e8b541e1ba54e6,train,empty-8-8,empty,16,8368,500,6,55,0,-0.07936507937000004,2.0079365079300002,3.0873015873000003,positive_frontier_and_boundary,True,False,False,False,False,False,69
g562_frontier_00000007,01f6c93fbd85ccfa89e2f59b3a21cac50dd0813f6acd384044fa209cf6308d24,train,g559-synth-game-lak-32,game,256,7431,5000,12,52,0,-0.22532951290000014,1.8224641833800002,3.0477936962800003,positive_frontier_and_boundary,True,False,False,False,False,False,70
g562_frontier_00000110,153d76d44d9086a1ef9ac37395e3276e49f3e2d0eb52765ff0a2d2abb3fb8c9e,train,g559-synth-loop-chain-36,irregular_bottleneck,64,7302,2000,34,30,0,-0.6863106200100002,1.35850214856,3.04481276857,positive_frontier_and_boundary,True,False,False,False,False,False,71
g562_frontier_00000491,641af39e7f36742192a88b94fafc1521daf7645da14ee4c5df721a58e39a201f,train,empty-8-8,empty,16,7312,500,16,47,0,-0.15079365078999984,1.8888888888900002,3.0396825396800002,positive_frontier_and_boundary,True,False,False,False,False,False,72
g562_frontier_00000398,50d514a35ea2210ce0ec95cbc0b8b90fc8f6405656bbc46bd69b604f7fdccc60,train,empty-8-8,empty,16,7168,500,20,43,0,-0.2578125,1.75,3.0078125,positive_frontier_and_boundary,True,False,False,False,False,False,73
g562_frontier_00000205,275018efa3a04710192f99af9b9b1042b07781c5be89da891db155609e38658d,train,empty-8-8,empty,16,8296,500,21,41,0,-0.2857142857099999,1.7071428571500002,2.99285714286,positive_frontier_and_boundary,True,False,False,False,False,False,74
g562_frontier_00000301,3b50f848cd6e9164141be7d360a8eb20bdce4441600a96402ab0b4375513db72,train,empty-8-8,empty,16,7024,500,35,27,0,-0.4027777777800001,1.55555555555,2.95833333333,positive_frontier_and_boundary,True,False,False,False,False,False,75
g562_frontier_00000032,06ad4d686b13f9bf3c283e14138b16fad39ad82e88f0f9a2312f0d2002c6ede8,validation,g559-synth-warehouse-a-32,warehouse,128,7802,2000,30,34,0,-0.08703878901999995,1.5371333964099998,2.62417218543,positive_frontier_and_boundary,True,False,False,False,False,False,76
g562_frontier_00000400,5114d7214b3b8417ce6aa73a13ec1c591a5eba3af1495798d1e4c1f65632ce9c,train,empty-8-8,empty,16,8536,500,8,54,0,-0.15573770490999994,1.4672131147599998,2.6229508196699998,positive_frontier_and_boundary,True,False,False,False,False,False,77
g562_frontier_00000319,3eb7ed402d7a365af203d9d8b61ae65616db01ae909811ae8777bbafd965223f,train,empty-8-8,empty,16,8872,500,23,41,0,-0.19565217391000012,1.36956521739,2.5652173913,positive_frontier_and_boundary,True,False,False,False,False,False,78
g562_frontier_00000004,0150337045443a5c17ab8679ab0612707e5f82757fdb7674f6e55ea149bd8712,train,empty-8-8,empty,16,8344,500,34,29,0,-0.4722222222199999,1.0,2.47222222222,positive_frontier_and_boundary,True,False,False,False,False,False,79
g562_frontier_00000259,31d862b1564f4f17dfa7d5be29239bb5ea1c72e6c0b1d8e234887b545dd8b9f2,train,g559-synth-tree-42,irregular_bottleneck,256,7785,1000,20,44,0,-0.5069286452900004,0.9110651499499998,2.41799379524,positive_frontier_and_boundary,True,False,False,False,False,False,80
g562_frontier_00000166,1e8d7dc54e2f2a76f4ba311e64bc3a60c0fcd9d71e2782947b52d9a64b80217a,train,empty-8-8,empty,16,7408,500,11,53,0,-0.09489051094,1.2992700729999997,2.3941605839399998,positive_frontier_and_boundary,True,False,False,False,False,False,81
g562_frontier_00000374,4af1e53b8e99abb39992a3c8d4314524cc5adabdd529aeabff8834ebb11b6180,train,empty-8-8,empty,16,7672,500,25,37,0,-0.17730496453,1.1631205673799998,2.34042553191,positive_frontier_and_boundary,True,False,False,False,False,False,82
g562_frontier_00000453,5baea4b83d2e169f5b2fb71f0939701476cfcdb0206a44a7fe173f18940f048d,train,empty-8-8,empty,16,7912,500,52,12,0,-0.51162790698,0.7829457364299999,2.2945736434099997,positive_frontier_and_boundary,True,False,False,False,False,False,83
g562_frontier_00000494,6445eeb31578e05f2eb18b63c72e4a1af0940f3a5092dde56999fbf457ea9603,train,empty-8-8,empty,16,8128,500,1,62,0,-0.015384615380000133,1.26923076923,2.2846153846100004,positive_frontier_and_boundary,True,False,False,False,False,False,84
g562_frontier_00000174,1fd58b47706133c47212872307992f7a63268fb35928c2cc887597b9b5ffd919,train,empty-8-8,empty,16,8488,500,21,40,0,-0.2558139534899999,0.9302325581400002,2.18604651163,positive_frontier_and_boundary,True,False,False,False,False,False,85
g562_frontier_00000169,1f1ce57d4942c8dec118cfc8c554da473bad91d4498e8b25376ad5983095bc8b,train,g559-synth-game-lak-32,game,256,7935,5000,12,52,0,-0.12410744644999983,0.96276776606,2.08687521251,positive_frontier_and_boundary,True,False,False,False,False,False,86
g562_frontier_00000075,0e6ea386a9c50872bbece4ebf9939ea2abc73cb1d44037beaa6f57e276b2836d,train,empty-8-8,empty,16,8728,500,44,19,0,-0.3030303030299999,0.7575757575800002,2.06060606061,positive_frontier_and_boundary,True,False,False,False,False,False,87
g562_frontier_00000000,006e10cb3e2711f7b020ab3cb4c9e80104fa58ff8562a895050690ef14da0c81,train,empty-8-8,empty,16,8512,500,30,33,0,-0.27536231884000006,0.7608695652199999,2.03623188406,positive_frontier_and_boundary,True,False,False,False,False,False,88
g562_frontier_00000460,5e8f340b706f13af80cad420acc783230729f827b2536bb1f584fec57b57ae2c,train,empty-8-8,empty,16,8704,500,8,55,0,-0.2295081967199999,0.7868852459000002,2.01639344262,positive_frontier_and_boundary,True,False,False,False,False,False,89
g562_frontier_00000415,545ab7ae198bb2c637e7def17bf5a8829207632e524a2328d22bdd8d7b1937ed,heldout,g559-synth-warehouse-b-36,warehouse,256,7875,5000,12,52,0,-0.09565504707999994,0.91690071039,2.01255575747,positive_frontier_and_boundary,True,False,False,False,False,False,90
g562_frontier_00000214,28619c48965d9e98df05ed2d98bfa849b110ae47703ba38c8f594b9693742a26,validation,g559-synth-warehouse-a-32,warehouse,128,7058,2000,16,48,0,-0.05927835051000008,0.8992502343,1.95852858481,positive_frontier_and_boundary,True,False,False,False,False,False,91
g562_frontier_00000401,51529ec3e0176efd8c0c5588fbbfccc6834719fb3e15ca77510e3769fd2bcfcf,train,g559-synth-corners-34,irregular_bottleneck,32,7253,1000,3,61,0,-0.02648171499999985,0.8852459016400003,1.9117276166400001,positive_frontier_and_boundary,True,False,False,False,False,False,92
g562_frontier_00000222,2b0b88191a4c560f7626fd00d48cf352d70e30598db5febbe65692ce663b7111,train,empty-8-8,empty,16,7624,500,50,12,0,-0.52830188679,0.37735849057000004,1.90566037736,positive_frontier_and_boundary,True,False,False,False,False,False,93
g562_frontier_00000316,3e8884ffd9ed5c9db158767e8e077fa3207e24969a1772533bdb1173658c9335,train,g559-synth-corners-34,irregular_bottleneck,32,7517,1000,9,55,0,-0.13613861386000004,0.7301980198,1.86633663366,positive_frontier_and_boundary,True,False,False,False,False,False,94
g562_frontier_00000239,2deeaf31ee165b71fdff25d46fe2d2ecaab47c03613d747c13a726e403836d92,train,empty-8-8,empty,16,7864,500,41,21,0,-0.30882352942000013,0.5294117647000001,1.8382352941200002,positive_frontier_and_boundary,True,False,False,False,False,False,95
g562_frontier_00000450,5b48493640c3119458e3fa26f8ee5c06c9202eeb9678d7c9bbd94e400f96d2ad,train,g559-synth-tree-42,irregular_bottleneck,256,7185,1000,6,58,0,-0.07768964816000024,0.7500508440099996,1.8277404921699998,positive_frontier_and_boundary,True,False,False,False,False,False,96
g562_frontier_00000421,556d4b162643736f30be7fc2b7b68c32f1d860ca691c1d585b317a795ba9ecdb,heldout,g559-synth-warehouse-b-36,warehouse,256,7635,5000,20,44,0,-0.0983469694400001,0.7186508599099999,1.81699782935,positive_frontier_and_boundary,True,False,False,False,False,False,97
g562_frontier_00000072,0dbfb121a55e065c2d11e90dd3338abb9d2432b51df8b02a00900118dc7148e6,train,empty-8-8,empty,16,7360,500,4,59,0,-0.03749999999999987,0.7375000000000003,1.7750000000000001,positive_frontier_and_boundary,True,False,False,False,False,False,98
g562_frontier_00000121,1720abdf4339ede5435258745c51492e8befc43e8c8be11ed49732533b0824ad,train,g559-synth-game-lak-32,game,256,7095,5000,8,55,0,-0.07208717519000007,0.6968985750199999,1.76898575021,positive_frontier_and_boundary,True,False,False,False,False,False,99
g562_frontier_00000091,1198ff393e623bc2fafbcebe5b821480325f6ff29ee86289323bbfa2ee541487,train,empty-8-8,empty,16,7840,500,38,26,0,-0.24770642202000004,0.51376146789,1.76146788991,positive_frontier_and_boundary,True,False,False,False,False,False,100
g562_frontier_00000291,3a10d1ea080f766d642d7664d74ac16e4b5a19ed5fb96d3c9a549e6ab374ad99,train,room-40-32-8,room,96,7801,1000,34,30,0,-0.15087090164000005,0.6073258196699998,1.7581967213099998,positive_frontier_and_boundary,True,False,False,False,False,False,101
g562_frontier_00000055,0b7deed6299d4d5e9f720ca2f0b1a80f507c5e9817e83e456ee85edc2fd8f1ce,train,g559-synth-corners-34,irregular_bottleneck,32,7781,1000,40,24,0,-0.23281061520000002,0.49095295537000005,1.72376357057,positive_frontier_and_boundary,True,False,False,False,False,False,102
