field_path,sampled_row_count,classification,runtime_pre_choice_safe,audit_only_post_update,target_outcome,insufficient_or_ambiguous,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
traffic_before_edges[],40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_before_flow_nonzero_edges,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_before_full_sparse_edges,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_before_full_sparse_edges[],40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_before_hash,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_before_hash_full,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_before_nonzero_edges,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
traffic_full_edge_filter,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
traffic_full_sparse_edge_count_after,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
traffic_full_sparse_edge_count_before,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
updateparams_fingerprint,40,insufficient_or_ambiguous,False,False,False,True,False,False,False,False,False
wait_nonprogress_edges,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
wait_progress_edges,40,runtime_pre_choice_safe,True,False,False,False,False,False,False,False,False
