map,agents,seed,scen,method,classification,success,ltm_success,success_regression,sum_of_loss_ratio,ltm_sum_of_loss_ratio,delta_ratio_vs_ltm,expanded_delta_vs_ltm,low_level_pibt_delta_vs_ltm,ttfs_delta_vs_ltm
warehouse-10-20-10-2-1,100,30,warehouse-10-20-10-2-1-random-30.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.25521038144,1.25521038144,0.0,0.0,0.0,126.0
warehouse-10-20-10-2-1,100,31,warehouse-10-20-10-2-1-random-31.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.20002591009,1.20002591009,0.0,0.0,0.0,15.0
warehouse-10-20-10-2-1,100,32,warehouse-10-20-10-2-1-random-32.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.16523279352,1.16523279352,0.0,0.0,0.0,29.0
warehouse-10-20-10-2-1,100,33,warehouse-10-20-10-2-1-random-33.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.12466124661,1.12466124661,0.0,0.0,0.0,37.0
warehouse-10-20-10-2-1,100,34,warehouse-10-20-10-2-1-random-34.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.17056156261,1.17056156261,0.0,0.0,0.0,104.0
warehouse-10-20-10-2-1,100,35,warehouse-10-20-10-2-1-random-35.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.15807228916,1.15807228916,0.0,0.0,0.0,69.0
warehouse-10-20-10-2-1,100,36,warehouse-10-20-10-2-1-random-36.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.14618249534,1.14618249534,0.0,0.0,0.0,-10.0
warehouse-10-20-10-2-1,100,37,warehouse-10-20-10-2-1-random-37.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.14158653846,1.14158653846,0.0,0.0,0.0,39.0
warehouse-10-20-10-2-1,100,38,warehouse-10-20-10-2-1-random-38.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.16456161864,1.16456161864,0.0,0.0,0.0,65.0
warehouse-10-20-10-2-1,100,39,warehouse-10-20-10-2-1-random-39.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.14967557462,1.14967557462,0.0,0.0,0.0,28.0
warehouse-10-20-10-2-1,100,40,warehouse-10-20-10-2-1-random-40.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.23353365385,1.23353365385,0.0,0.0,0.0,52.0
warehouse-10-20-10-2-1,100,41,warehouse-10-20-10-2-1-random-41.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.15914713158,1.15914713158,0.0,0.0,0.0,89.0
warehouse-10-20-10-2-1,100,42,warehouse-10-20-10-2-1-random-42.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.18760426023,1.18760426023,0.0,0.0,0.0,67.0
warehouse-10-20-10-2-1,100,43,warehouse-10-20-10-2-1-random-43.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.14853435291,1.14853435291,0.0,0.0,0.0,84.0
warehouse-10-20-10-2-1,100,44,warehouse-10-20-10-2-1-random-44.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.18992678056,1.18992678056,0.0,0.0,0.0,-31.0
warehouse-10-20-10-2-1,100,45,warehouse-10-20-10-2-1-random-45.scen,repair5f_static_c100_b100_w075_d090,equal,True,True,False,1.18089917531,1.18089917531,0.0,0.0,0.0,10.0
maze-32-32-4,50,40,maze-32-32-4-random-40.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.22648941408,1.22747415066,-0.0009847365799999785,-32.0,-1596.0,2.0
maze-32-32-4,100,29,maze-32-32-4-random-29.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.25346784363,1.25472887768,-0.0012610340500001094,-9.0,-1199.0,6.0
maze-32-32-4,50,33,maze-32-32-4-random-33.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.26181980375,1.26583407672,-0.004014272970000121,-1.0,-47.0,2.0
maze-32-32-4,50,31,maze-32-32-4-random-31.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.15960374243,1.16510731976,-0.0055035773299998425,20.0,1777.0,-2.0
random-32-32-20,100,28,random-32-32-20-random-28.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.2747924858,1.28090869375,-0.006116207950000119,-4.0,-399.0,3.0
maze-32-32-4,50,29,maze-32-32-4-random-29.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.16858789625,1.17483189241,-0.006243996160000043,0.0,1.0,-2.0
maze-32-32-4,100,39,maze-32-32-4-random-39.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.32694700174,1.33366509082,-0.006718089080000045,-1.0,-96.0,-10.0
maze-32-32-4,50,27,maze-32-32-4-random-27.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.20516717325,1.21225937183,-0.0070921985800000975,2.0,100.0,-1.0
maze-32-32-4,100,32,maze-32-32-4-random-32.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.2863286555,1.29425079221,-0.007922136709999972,25.0,2504.0,-1.0
maze-32-32-4,100,30,maze-32-32-4-random-30.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.22342342342,1.23217503218,-0.008751608759999918,-2.0,-199.0,-1.0
maze-32-32-4,100,44,maze-32-32-4-random-44.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.29388422035,1.30298786181,-0.009103641459999867,-14.0,1021.0,-3.0
random-32-32-20,100,34,random-32-32-20-random-34.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.18716337522,1.19883303411,-0.011669658890000045,-4.0,-599.0,0.0
maze-32-32-4,50,44,maze-32-32-4-random-44.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.21071071071,1.22322322322,-0.012512512510000073,-5.0,-247.0,-5.0
random-32-32-20,100,44,random-32-32-20-random-44.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,0.919115323855,0.932385466035,-0.01327014218,10.0,1094.0,-2.0
maze-32-32-4,100,36,maze-32-32-4-random-36.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.26802053113,1.28498103102,-0.016960499890000147,-8.0,-801.0,16.0
maze-32-32-4,100,42,maze-32-32-4-random-42.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.23118811881,1.24876237624,-0.017574257429999962,-2.0,-194.0,1.0
maze-32-32-4,100,31,maze-32-32-4-random-31.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.27528089888,1.29341164454,-0.018130745659999947,3.0,301.0,18.0
random-32-32-20,100,40,random-32-32-20-random-40.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.26214890771,1.2844404815,-0.022291573789999797,-6.0,-597.0,-5.0
maze-32-32-4,50,30,maze-32-32-4-random-30.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.14858757062,1.17231638418,-0.023728813560000006,2.0,100.0,-2.0
maze-32-32-4,50,36,maze-32-32-4-random-36.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.16554809843,1.18970917226,-0.02416107382999999,-2.0,-106.0,-11.0
random-32-32-20,100,39,random-32-32-20-random-39.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.22862368541,1.25331504344,-0.024691358029999888,-4.0,-1301.0,6.0
maze-32-32-4,100,26,maze-32-32-4-random-26.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.2498854787,1.28905176363,-0.03916628493000007,20.0,1208.0,5.0
random-32-32-20,100,31,random-32-32-20-random-31.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.24622483221,1.28565436242,-0.03942953021000006,-7.0,-999.0,9.0
maze-32-32-4,100,38,maze-32-32-4-random-38.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,1.25926943147,1.30211480363,-0.04284537216000017,-26.0,-2600.0,-5.0
random-32-32-20,100,35,random-32-32-20-random-35.scen,repair5f_static_c100_b100_w075_d090,better,True,True,False,0.877257525084,0.926086956522,-0.048829431438000004,-48.0,-14723.0,-5.0
