candidate_id,candidate_family,candidate_context_rows,safe_materialized_rows,success_regression_count_vs_g556_c063174,success_gain_count_vs_g556_c063174,both_success_quality_pairs_vs_g556_c063174,quality_delta_mean_vs_g556_c063174,bootstrap_ci_upper,better_count_vs_g556_c063174,worse_count_vs_g556_c063174,support_topologies,support_contexts,candidate_recognized_all,fingerprint_match_all,cost_finite_all,theta_in_bounds_all,safe_label_candidate,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g557_gcst_00394,,12000,11958,42,131,6124,0.000140785490482,0.00192130693028,2166,2233,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00247,,12000,11958,42,129,6124,0.000388357492771,0.00220424931226,2247,1912,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00098,,12000,11958,42,121,6124,0.000428973056035,0.00232776111363,2001,2417,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00228,,12000,11958,42,132,6124,0.000552385316332,0.00232044984216,2650,2031,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00498,,12000,11958,42,123,6124,0.000890525390661,0.00315188698205,2133,2033,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00124,,12000,11958,42,111,6124,0.00092049591425,0.00307292295836,1984,2483,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00313,,12000,11958,42,118,6124,0.00100862999207,0.00296084952871,1748,2972,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00100,,12000,11958,42,124,6124,0.00107101409131,0.00300337477405,1920,2510,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00072,,12000,11958,42,120,6124,0.00161047387637,0.00332953680642,1729,2938,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00140,,12000,11958,42,125,6124,0.00196767413613,0.00392949681549,2555,2233,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00291,,12000,11958,42,121,6124,0.00240521771798,0.00753394785829,1786,1763,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00134,,12000,11958,42,124,6124,0.00321876970621,0.0053616804655,2129,2513,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00082,,12000,11958,42,112,6124,0.00355202368532,0.00705411477867,1993,2510,33,12000,True,True,True,True,False,False,False,False,False,False
g557_gcst_00363,,12000,11958,42,132,6124,0.00680799887455,0.00899920064252,2150,2718,33,12000,True,True,True,True,False,False,False,False,False,False
