stage,candidate_id,candidate_group,event_condition,edge_class,method,support_pairs,seed_block_support,context_support,vs_pareto_lattice_pairs,vs_pareto_lattice_success_regression_count,vs_pareto_lattice_success_gain_count,vs_pareto_lattice_both_fail_count,vs_pareto_lattice_quality_only_pairs,vs_pareto_lattice_quality_only_mean_delta,vs_pareto_lattice_quality_only_median_delta,vs_pareto_lattice_quality_ci_low,vs_pareto_lattice_quality_ci_high,vs_pareto_lattice_mean_corrected_delta,vs_pareto_lattice_better_count,vs_pareto_lattice_equal_count,vs_pareto_lattice_worse_count,vs_pareto_lattice_safe_high_margin_count,vs_pareto_lattice_safe_low_margin_count,vs_static_flow_pairs,vs_static_flow_success_regression_count,vs_static_flow_success_gain_count,vs_static_flow_both_fail_count,vs_static_flow_quality_only_pairs,vs_static_flow_quality_only_mean_delta,vs_static_flow_quality_only_median_delta,vs_static_flow_quality_ci_low,vs_static_flow_quality_ci_high,vs_static_flow_mean_corrected_delta,vs_static_flow_better_count,vs_static_flow_equal_count,vs_static_flow_worse_count,vs_static_flow_safe_high_margin_count,vs_static_flow_safe_low_margin_count,vs_family_static_pairs,vs_family_static_success_regression_count,vs_family_static_success_gain_count,vs_family_static_both_fail_count,vs_family_static_quality_only_pairs,vs_family_static_quality_only_mean_delta,vs_family_static_quality_only_median_delta,vs_family_static_quality_ci_low,vs_family_static_quality_ci_high,vs_family_static_mean_corrected_delta,vs_family_static_better_count,vs_family_static_equal_count,vs_family_static_worse_count,vs_family_static_safe_high_margin_count,vs_family_static_safe_low_margin_count,vs_additive_pairs,vs_additive_success_regression_count,vs_additive_success_gain_count,vs_additive_both_fail_count,vs_additive_quality_only_pairs,vs_additive_quality_only_mean_delta,vs_additive_quality_only_median_delta,vs_additive_quality_ci_low,vs_additive_quality_ci_high,vs_additive_mean_corrected_delta,vs_additive_better_count,vs_additive_equal_count,vs_additive_worse_count,vs_additive_safe_high_margin_count,vs_additive_safe_low_margin_count,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready,region_status
stage1,repair5g543_evt_blocked_open_penalize_002,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p75_dc0p95_df1p00_beta0p25_max0p75_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_open_penalize_009,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p25_max0p5_c0,120,3,120,120,0,0,40,80,0.004809516238,0,0.004809516238,0.004809516238,0.00320634415867,1,67,12,1,1,120,0,0,40,80,0.004809516238,0,0.004809516238,0.004809516238,0.00320634415867,1,67,12,1,1,120,0,0,40,80,0.00599117202138,0,0.00599117202138,0.00599117202138,0.00399411468092,4,59,17,4,3,120,0,0,40,80,-0.00263843264312,0,-0.00263843264312,-0.00263843264312,-0.00175895509542,10,68,2,10,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_open_penalize_010,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p25_max0p75_c0,120,3,120,120,0,0,40,80,0.001075786394,0,0.001075786394,0.001075786394,0.000717190929333,4,68,8,4,1,120,0,0,40,80,0.001075786394,0,0.001075786394,0.001075786394,0.000717190929333,4,68,8,4,1,120,0,0,40,80,0.00225744217737,0,0.00225744217737,0.00225744217737,0.00150496145158,7,58,15,7,1,120,0,0,40,80,-0.00637216248712,0,-0.00637216248712,-0.00637216248712,-0.00424810832475,17,63,0,17,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_blocked_open_penalize_011,blocked_open_area_penalizers,blocked_open_area,junction,repair5g518_grid_c1p1_b1p35_f1p00_w0p9_dc0p95_df1p00_beta0p35_max0p5_c0,120,3,120,120,0,0,40,80,0.00474534440813,0,0.00474534440813,0.00474534440813,0.00316356293875,3,64,13,3,0,120,0,0,40,80,0.00474534440813,0,0.00474534440813,0.00474534440813,0.00316356293875,3,64,13,3,0,120,0,0,40,80,0.0059270001915,0,0.0059270001915,0.0059270001915,0.003951333461,3,57,20,3,0,120,0,0,40,80,-0.002702604473,0,-0.002702604473,-0.002702604473,-0.00180173631533,10,69,1,10,2,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_commit_progress_flow_001,committed_progress_flow_boosters,committed_progress,goal_progress,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max0p75_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_commit_progress_flow_002,committed_progress_flow_boosters,committed_progress,goal_progress,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p45_max1p00_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_commit_progress_flow_003,committed_progress_flow_boosters,committed_progress,goal_progress,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p6_max0p75_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_commit_progress_flow_004,committed_progress_flow_boosters,committed_progress,goal_progress,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc0p95_df1p00_beta0p6_max1p00_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_commit_progress_flow_005,committed_progress_flow_boosters,committed_progress,goal_progress,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc1p00_df1p00_beta0p45_max0p75_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
stage1,repair5g543_evt_commit_progress_flow_006,committed_progress_flow_boosters,committed_progress,goal_progress,repair5g518_grid_c0p9_b0p95_f1p2_w0p65_dc1p00_df1p00_beta0p45_max1p00_c0,40,3,40,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,40,0,0,0,40,0,0,0,0,0,0,40,0,0,0,False,False,False,False,False,boundary_or_quality_weak
