topology_id,map,free_cell_count,represented_cell_count,all_cells_assigned,original_component_count,coarsened_component_count,component_count_unchanged,shortest_path_distortion_mean,shortest_path_distortion_max,connectivity_preserved,map_source,width,height,directed_edge_count,physical_map_sha256,free_cell_bitmap_sha256,adjacency_sha256,hash_source,max_nodes_hint,max_nodes_sampling_truncated,max_nodes_sampling_rejected_for_g559,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
g559_topo_011,g559-synth-warehouse-b-36,720,720,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,36,32,2444,55f3b8abd889abf71aea1f354e70e49f8907e4bdfd6c513d1f9978c6b1ffcc8f,0c70ad0161e5cbd4078934f76568e15b4940eb7b3138f5a4082d3a1d7bf3ee59,0cae910bc887d58a0609a1732171a583e8ba1922ad775bca40dca1540d740e1c,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_012,g559-synth-connector-32,347,347,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,32,32,1156,f8c0bbf70e0153a3e8c79747ca8d5272633b79baddd59cc9c40ddc4b440d41a1,6964f42904933b782f2ac9497b8123ef11538a8a9f8eb5626b69e4e11bb91f40,1ebb93db09f463c3ecf508d0d7496828fbcc7c7ee0645eeef2809bf7858775db,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_013,g559-synth-corners-34,361,361,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,34,32,1200,50f00a33e4a714768d7f920af2f89b5ed061c6d2533634dd8ca17400a0273e3d,39ac8b197d743d97fbe181c1ffb5ee10a3710606ac04e168350012c68c9420e3,8932425f4f39f61c83b54c594cdbdfb5f4ceb399f52529c5482fdd784534ac1f,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_014,g559-synth-loop-chain-36,371,371,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,36,32,1236,705cdf48a35a0295bf5a8e5af285b169482d88764daa4b987519558109fa0dc3,7ba9ddea433707c6fef04d2acc191c5acee4a9ed794f55482fc648a0bc9f87d6,f81bd35be19cf0f3dd8baade0896a14c624f4956c8689bc035890b999932f78e,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_015,g559-synth-tunnel-38,385,385,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,38,32,1280,457bd56b8871e489dbd82a0563cc4509b2ab2ac2cc3d21ee44f9fc87add3bc4f,39faa57afa1a726fe261e0f322cc9aa88f3d2df9ec31aa44ba672c5fc175a132,03d02b14a22f4cf6f89592d6ecebfdc5deee0910886cbd69a48c74be5fec0002,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_016,g559-synth-string-40,397,397,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,40,32,1320,fb119aacaf305ebcce9e07dd0659ab15f993a9486d1697355aeabc66dac86ab0,ca180d4f2d7d43d9733632dc68b7215769f60f6a7616de4fba621ac3839c72f7,2da61a094400d0176fc8892faae14e9a6a95bd8fc6bf15469d2eb767717fd7ec,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_017,g559-synth-tree-42,409,409,True,1,1,True,0.0,0.0,True,synthetic_reconstruction,42,32,1360,02ec7ff7cd6494f443d4281a55993c0b0831fddd7c59687d20ff7ac63920160f,55982d7d664454abb5934e384a0c9f83376b6120d28503e07e06e8d629262b91,8c2ef574629edc69a792d7d66e913d473f9bdf109baf0187346811d9c5de2d5b,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_018,g559-synth-game-den-32,784,784,True,5,5,True,0.0,0.0,True,synthetic_reconstruction,32,32,2308,a239412a61015e89d0a73526ad7fa1e554931ce6416e2a2e037c8552a5438927,e830bdb189f3f4afa5f557618a07d7a1aee7849b235bcb0336e2c2b052d5ab60,2fd636eebb411cc917d7865e1eaffaf4ea67029f55f97adb303b7a9b700a6fdf,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_019,g559-synth-game-brc-32,794,794,True,2,2,True,0.0,0.0,True,synthetic_reconstruction,32,32,2378,302e62361819ff53cd7fb6fa94a70715501e8cd760db0c448d754511df4102e1,b8bed89fe7e5f935fa0e5be80beb000554456bf8bb7a33e63969a2044ee890f3,fe132532d70e7c5e2a4cd34251ccbe1603b9ff7283ab27f4e9fde018c92dec5b,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_020,g559-synth-city-berlin-32,795,795,True,5,5,True,0.0,0.0,True,synthetic_reconstruction,32,32,2392,6c5e61c0c3a3dd7fa4b0b1dce70e9ad0b8a0cd1517c854bf0f707b66ca835f1a,252d20d0b52385737665d0e7b6e2ad96087551186e7a60f1db357bcb36f2430d,ec8aaf34c11890d31f296f7f126c9e555bb365becb4afc49223e1affbd9815bd,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_021,g559-synth-city-boston-32,803,803,True,4,4,True,0.0,0.0,True,synthetic_reconstruction,32,32,2448,913cd60123dcc70877c92842394a55e2f5c7749cebdc1748188776fd5714327d,d46cecefd7c0bff0f8b07452592261ae7f5a5a4997385e4179277201c6ad4f59,63e7fcba416ead4ca7518386900858fa5e8434ef584649a56b253d8188ebd016,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_022,g559-synth-city-paris-32,781,781,True,8,8,True,0.0,0.0,True,synthetic_reconstruction,32,32,2322,21e432e5dcbbbb3ea52105da5f8e7460164527ceeaa04f55b94e194c9ed1dbe3,5f3c4efbd953aeb862935460fffabab8851998174d7b6e79c5b86f5c9028d3ab,d47d572cd3c4e0e439e34f5cd84caabf9b530da69701966601fc30d577d7077c,synthetic_reconstruction,0,False,False,False,False,False,False,False
g559_topo_023,g559-synth-game-lak-32,794,794,True,2,2,True,0.0,0.0,True,synthetic_reconstruction,32,32,2370,3d8211e6194a40724c7ffe8c552d48777ac9d2b767bf94623ae9f0c376a447f4,6002ce54cc8115c4e8deb3f256604f6a1c230ac9f0a97f4d2cc18cb0e3369b70,ffe610c0c9be3c46de04a3edb987d7a3775e64364a4c75e61fbbcd98ae46efab,synthetic_reconstruction,0,False,False,False,False,False,False,False
