map_family,candidate_id,paired_groups,better_count,equal_count,worse_count,mean_delta_ratio,median_delta_ratio,bootstrap_ci_low,bootstrap_ci_high,success_regression_count,actual_success_regression_count,candidate_harmful_count,expanded_node_regression_count,ttfs_regression,winner_stability_score,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
random,repair5g59_block_heavy_flow_guard,156,10,145,1,-0.00850013231064,0,-0.014067065249,-0.00293319937223,14,14,15,1,reported_if_available,0.0641025641026,False,False,False,False,False
random,repair5g59_c_only_f_disabled,152,10,139,3,-0.00168239353336,0,-0.00322681346836,-0.000137973598347,11,11,16,3,reported_if_available,0.0657894736842,False,False,False,False,False
random,repair5g59_commit_heavy_flow_guard,149,10,139,0,-0.00799202274013,0,-0.0131618609587,-0.00282218452155,16,16,18,2,reported_if_available,0.0671140939597,False,False,False,False,False
random,repair5g59_flow_decay,342,17,322,3,-0.00461831721699,0,-0.00723024194679,-0.00200639248719,20,20,25,5,reported_if_available,0.0497076023392,False,False,False,False,False
random,repair5g59_high_beta_cap_safe,338,19,317,2,-0.00531067975737,0,-0.00815873208729,-0.00246262742744,22,22,29,7,reported_if_available,0.0562130177515,False,False,False,False,False
random,repair5g59_light_cong_light_flow,152,10,142,0,-0.00424992800145,0,-0.00696511975623,-0.00153473624666,15,15,16,1,reported_if_available,0.0657894736842,False,False,False,False,False
random,repair5g59_low_beta_high_cap,155,12,143,0,-0.00854248985142,0,-0.0137467259714,-0.00333825373147,14,14,16,2,reported_if_available,0.0774193548387,False,False,False,False,False
random,repair5g59_static_flow_shield,347,16,328,3,-0.00396117735853,0,-0.00639244955369,-0.00152990516337,18,18,26,8,reported_if_available,0.0461095100865,False,False,False,False,False
random,repair5g59_wait_aggressive,153,11,142,0,-0.0090090187449,0,-0.0144418973215,-0.00357614016829,14,14,15,1,reported_if_available,0.0718954248366,False,False,False,False,False
random,repair5g59_wait_conservative,340,19,319,2,-0.00483346202571,0,-0.00751349975798,-0.00215342429343,17,17,25,8,reported_if_available,0.0558823529412,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f0p00_w0p5_dc0p95_df1p00_beta0p00_max0p00_c1,60,0,60,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df1p00_beta0p00_max0p00_c1,60,0,60,0,0,0,0,0,1,1,2,1,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df1p00_beta0p35_max0p75_c0,60,0,60,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df1p00_beta0p35_max0p75_c0,60,0,60,0,0,0,0,0,0,0,2,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,60,0,60,0,0,0,0,0,0,0,1,1,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p35_max0p75_c0,60,0,60,0,0,0,0,0,1,1,2,1,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max0p75_c0,60,0,60,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p5_max1p00_c0,60,0,60,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p6_max1p00_c0,60,0,60,0,0,0,0,0,0,0,2,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max0p75_c0,60,0,60,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc0p95_df1p00_beta0p7_max1p00_c0,65,0,65,0,0,0,0,0,0,0,2,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_additive_fallback,92,0,92,0,0,0,0,0,0,0,0,0,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_block_heavy_flow_guard,86,0,86,0,0,0,0,0,2,2,5,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_c_only_f_disabled,86,0,86,0,0,0,0,0,2,2,5,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_commit_heavy_flow_guard,86,0,86,0,0,0,0,0,1,1,4,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_flow_decay,90,0,90,0,0,0,0,0,0,0,3,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_high_beta_cap_safe,91,0,91,0,0,0,0,0,3,3,5,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_light_cong_light_flow,86,0,86,0,0,0,0,0,2,2,5,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_low_beta_high_cap,86,0,86,0,0,0,0,0,1,1,3,2,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_static_flow_shield,91,0,91,0,0,0,0,0,2,2,5,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_wait_aggressive,86,0,86,0,0,0,0,0,1,1,4,3,reported_if_available,0,False,False,False,False,False
warehouse,repair5g59_wait_conservative,90,0,90,0,0,0,0,0,0,0,3,3,reported_if_available,0,False,False,False,False,False
