feature,comparison,train_n,other_n,train_mean,other_mean,train_std,other_std,standardized_mean_diff,train_q10,other_q10,train_q50,other_q50,train_q90,other_q90
map_height,validation_map:maze-32-32-4,2526,219,51.03206650831354,32.0,27.87156951834615,0.0,0.9656939684837984,32.0,32.0,32.0,32.0,64.0,32.0
obstacle_ratio,validation_all,2526,459,0.21649967554447214,0.10903033088235294,0.14766986510876146,0.11413816694349986,0.8143263433358066,0.0,0.0,0.20166015625,0.0,0.42762708000911787,0.228515625
obstacle_ratio,validation_map:empty-48-48,2526,240,0.21649967554447214,0.0,0.14766986510876146,0.0,2.073386991847406,0.0,0.0,0.20166015625,0.0,0.42762708000911787,0.0
obstacle_ratio,validation_map:maze-32-32-4,2526,219,0.21649967554447214,0.228515625,0.14766986510876146,0.0,0.11507506065832308,0.0,0.228515625,0.20166015625,0.228515625,0.42762708000911787,0.228515625
iteration,validation_all,2526,459,1.4813935075217735,1.4509803921568627,1.1164617037266371,1.1140292322621008,0.02727031685170644,0.0,0.0,1.0,1.0,3.0,3.0
iteration,validation_map:empty-48-48,2526,240,1.4813935075217735,1.5,1.1164617037266371,1.118033988749895,0.016653858796618997,0.0,0.0,1.0,1.5,3.0,3.0
iteration,validation_map:maze-32-32-4,2526,219,1.4813935075217735,1.3972602739726028,1.1164617037266371,1.1071341014343425,0.07567246991107193,0.0,0.0,1.0,1.0,3.0,3.0
node_budget,validation_all,2526,459,994.2755344418052,1102.6797385620914,1064.2542663291747,1842.6063783739419,0.07204698435011794,0.0,0.0,660.0,790.0,2580.0,1952.0
node_budget,validation_map:empty-48-48,2526,240,994.2755344418052,575.0416666666666,1064.2542663291747,337.43641119064495,0.53103743029144,0.0,0.0,660.0,730.0,2580.0,850.0
node_budget,validation_map:maze-32-32-4,2526,219,994.2755344418052,1680.9132420091323,1064.2542663291747,2520.2638273792563,0.3549483099014301,0.0,0.0,660.0,1030.0,2580.0,4166.000000000011
elapsed_ms,validation_all,2526,459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elapsed_ms,validation_map:empty-48-48,2526,240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elapsed_ms,validation_map:maze-32-32-4,2526,219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_remaining_sec,validation_all,2526,459,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0
time_remaining_sec,validation_map:empty-48-48,2526,240,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0
time_remaining_sec,validation_map:maze-32-32-4,2526,219,8.0,8.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0
max_iterations,validation_all,2526,459,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
max_iterations,validation_map:empty-48-48,2526,240,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
max_iterations,validation_map:maze-32-32-4,2526,219,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
has_solution_before,validation_all,2526,459,0.9619952494061758,0.9520697167755992,0.19120771304036024,0.21361875192601834,0.048961019254144145,1.0,1.0,1.0,1.0,1.0,1.0
has_solution_before,validation_map:empty-48-48,2526,240,0.9619952494061758,1.0,0.19120771304036024,0.0,0.28109134757052545,1.0,1.0,1.0,1.0,1.0,1.0
has_solution_before,validation_map:maze-32-32-4,2526,219,0.9619952494061758,0.8995433789954338,0.19120771304036024,0.3006078646690918,0.2479054327016785,1.0,0.8000000000000007,1.0,1.0,1.0,1.0
best_ratio_before,validation_all,2526,459,1.430002482936478,1.4082200520654025,0.7078234783172038,0.9718992110861873,0.025621051479724103,1.0650037114050002,1.046140083896,1.2435249693100001,1.19296450775,2.077735272855,1.8618410641979999
best_ratio_before,validation_map:empty-48-48,2526,240,1.430002482936478,1.1352942989669574,0.7078234783172038,0.07491850691996679,0.585548791341778,1.0650037114050002,1.046175402393,1.2435249693100001,1.1215566104249999,2.077735272855,1.2430123711940002
best_ratio_before,validation_map:maze-32-32-4,2526,219,1.430002482936478,1.7073167677897259,0.7078234783172038,1.3425766478682244,0.2583989040944627,1.0650037114050002,0.8955834495600008,1.2435249693100001,1.34519827998,2.077735272855,3.9996558676200022
improved_last_iteration,validation_all,2526,459,0.2509897070467142,0.26143790849673204,0.4335826034371245,0.4394179428489292,0.023935765206138965,0.0,0.0,0.0,0.0,1.0,1.0
improved_last_iteration,validation_map:empty-48-48,2526,240,0.2509897070467142,0.25,0.4335826034371245,0.4330127018922193,0.002284126919712309,0.0,0.0,0.0,0.0,1.0,1.0
improved_last_iteration,validation_map:maze-32-32-4,2526,219,0.2509897070467142,0.273972602739726,0.4335826034371245,0.4459950848246487,0.05225373012570315,0.0,0.0,0.0,0.0,1.0,1.0
returned_solutions_count_so_far,validation_all,2526,459,0.9619952494061758,0.9520697167755992,0.19120771304036024,0.21361875192601834,0.048961019254144145,1.0,1.0,1.0,1.0,1.0,1.0
returned_solutions_count_so_far,validation_map:empty-48-48,2526,240,0.9619952494061758,1.0,0.19120771304036024,0.0,0.28109134757052545,1.0,1.0,1.0,1.0,1.0,1.0
returned_solutions_count_so_far,validation_map:maze-32-32-4,2526,219,0.9619952494061758,0.8995433789954338,0.19120771304036024,0.3006078646690918,0.2479054327016785,1.0,0.8000000000000007,1.0,1.0,1.0,1.0
committed_count,validation_all,2526,459,231411.16389548694,128300.65359477124,2773616.343479678,598471.0094936643,0.05139133676107023,2950.0,3890.0000000000005,15400.0,14600.0,93200.0,120959.99999999927
committed_count,validation_map:empty-48-48,2526,240,231411.16389548694,16315.416666666666,2773616.343479678,13383.444835307626,0.10967190269118711,2950.0,3500.0,15400.0,11800.0,93200.0,35600.0
committed_count,validation_map:maze-32-32-4,2526,219,231411.16389548694,251024.200913242,2773616.343479678,849517.1246919686,0.009561860688982215,2950.0,4900.0,15400.0,14900.0,93200.0,380800.0000000004
blocked_count,validation_all,2526,459,14505.089865399841,11187.564270152505,162246.5893737355,38329.07482639795,0.0281423908390076,106.5,59.60000000000001,1094.0,861.0,15290.0,10305.999999999996
blocked_count,validation_map:empty-48-48,2526,240,14505.089865399841,1059.275,162246.5893737355,1307.3655218447266,0.11719590850324596,106.5,41.900000000000006,1094.0,396.5,15290.0,3263.2999999999997
blocked_count,validation_map:maze-32-32-4,2526,219,14505.089865399841,22287.059360730593,162246.5893737355,53306.842819901634,0.06444203530738518,106.5,332.4,1094.0,1775.0,15290.0,78294.80000000002
wait_event_count,validation_all,2526,459,19205.826603325415,6086.888888888889,262444.92602652323,28499.306722880498,0.07027969027405687,43.0,23.0,477.0,309.0,7997.5,4819.999999999997
wait_event_count,validation_map:empty-48-48,2526,240,19205.826603325415,358.02916666666664,262444.92602652323,443.205787397501,0.10156329996917932,43.0,16.0,477.0,137.5,7997.5,1153.9
wait_event_count,validation_map:maze-32-32-4,2526,219,19205.826603325415,12365.091324200914,262444.92602652323,40332.44513170708,0.03643432803923901,43.0,141.8,477.0,788.0,7997.5,36382.200000000004
goal_wait_ignored_count,validation_all,2526,459,199460.6060965954,111865.53376906319,2513666.2551026647,561598.4868602066,0.04809609937132336,1492.5,2014.8,7953.0,8343.0,55613.0,96148.59999999976
goal_wait_ignored_count,validation_map:empty-48-48,2526,240,199460.6060965954,9436.75,2513666.2551026647,8475.613500655867,0.10690869812039668,1492.5,1746.4,7953.0,6606.5,55613.0,20408.199999999997
goal_wait_ignored_count,validation_map:maze-32-32-4,2526,219,199460.6060965954,224116.25570776255,2513666.2551026647,798030.2111935114,0.01322121355908262,1492.5,2358.8,7953.0,9136.0,55613.0,353393.80000000005
blocked_per_committed,validation_all,2526,459,0.11365901168467125,0.0871345036806409,0.11358427578000568,0.07467457486301489,0.27595522148583357,0.016699021526418785,0.015689648622981958,0.07265950792326939,0.06495412844036698,0.28221169192660783,0.20178613622664257
blocked_per_committed,validation_map:empty-48-48,2526,240,0.11365901168467125,0.043237415840953294,0.11358427578000568,0.03169660883115005,0.8445371697657988,0.016699021526418785,0.01165,0.07265950792326939,0.03248506188647034,0.28221169192660783,0.09254006661442005
blocked_per_committed,validation_map:maze-32-32-4,2526,219,0.11365901168467125,0.13524090131317534,0.11358427578000568,0.07848775216036116,0.22106677706194922,0.016699021526418785,0.04916366657435613,0.07265950792326939,0.11048275862068965,0.28221169192660783,0.2533945748730965
wait_per_committed,validation_all,2526,459,0.05299478558895738,0.036720772179472304,0.05744365843864126,0.034827549174790015,0.3426019987819683,0.007272727272727273,0.005771647509578544,0.03226009389671361,0.02597938144329897,0.13617261904761904,0.08902348588654424
wait_per_committed,validation_map:empty-48-48,2526,240,0.05299478558895738,0.014793667492622252,0.05744365843864126,0.010713459615832484,0.9245367940429431,0.007272727272727273,0.004399025974025975,0.03226009389671361,0.010744688486936549,0.13617261904761904,0.030706203938625103
wait_per_committed,validation_map:maze-32-32-4,2526,219,0.05299478558895738,0.06075047594588332,0.05744365843864126,0.03622312218782143,0.1615087519620522,0.007272727272727273,0.022094284522319565,0.03226009389671361,0.047345132743362835,0.13617261904761904,0.11422553862322651
blocked_per_agent,validation_all,2526,459,41.35627573238318,33.63505446623093,405.34223196969447,95.16895529393999,0.026225708482445452,1.8250000000000002,1.1920000000000002,8.3,7.48,45.738749999999996,51.52999999999999
blocked_per_agent,validation_map:empty-48-48,2526,240,41.35627573238318,3.6719062499999997,405.34223196969447,2.831715430206446,0.13147518758614865,1.8250000000000002,0.8380000000000001,8.3,2.7325,45.738749999999996,8.15825
blocked_per_agent,validation_map:maze-32-32-4,2526,219,41.35627573238318,66.47138127853883,405.34223196969447,130.04560900033007,0.08343608345770176,1.8250000000000002,6.648000000000001,8.3,17.75,45.738749999999996,195.73700000000005
committed_per_agent,validation_all,2526,459,657.3863816310372,393.6100217864924,6929.533307818735,1493.9584440895424,0.05262369635204328,51.0,72.0,114.0,94.0,388.5,483.99999999999983
committed_per_agent,validation_map:empty-48-48,2526,240,657.3863816310372,81.81666666666666,6929.533307818735,13.860004409170372,0.11746489015399786,51.0,68.0,114.0,80.0,388.5,95.0
committed_per_agent,validation_map:maze-32-32-4,2526,219,657.3863816310372,735.3013698630137,6929.533307818735,2110.5312171975215,0.015211393310182045,51.0,98.0,114.0,149.0,388.5,1571.8000000000006
nonzero_edges_before,validation_all,2526,459,4424.809580364212,2785.3442265795206,7102.433714328652,2662.8736085973487,0.30566762626167904,0.0,0.0,1926.5,2080.0,11082.5,7010.4
nonzero_edges_before,validation_map:empty-48-48,2526,240,4424.809580364212,4043.945833333333,7102.433714328652,3068.493843549196,0.06961702855103569,0.0,0.0,1926.5,4343.5,11082.5,8342.2
nonzero_edges_before,validation_map:maze-32-32-4,2526,219,4424.809580364212,1406.054794520548,7102.433714328652,951.2097304671878,0.595765427565211,0.0,0.0,1926.5,1651.0,11082.5,2491.8
max_raw_before,validation_all,2526,459,106.27593032462391,158.95642701525054,381.3697469363414,517.0439632903895,0.11595965985543631,0.0,0.0,23.0,20.0,216.0,310.39999999999986
max_raw_before,validation_map:empty-48-48,2526,240,106.27593032462391,17.333333333333332,381.3697469363414,20.35572537532266,0.32935238222428637,0.0,0.0,23.0,10.0,216.0,51.0
max_raw_before,validation_map:maze-32-32-4,2526,219,106.27593032462391,314.1598173515982,381.3697469363414,716.7852999603405,0.3620923128868309,0.0,0.0,23.0,74.0,216.0,800.8000000000009
mean_topk_raw_before,validation_all,2526,459,74.88806413301663,120.52682461873638,268.00106371263746,392.0014530790694,0.13592066015714338,0.0,0.0,16.1875,15.4375,155.46875,210.9249999999999
mean_topk_raw_before,validation_map:empty-48-48,2526,240,74.88806413301663,11.5953125,268.00106371263746,12.228560539617634,0.33364208735619705,0.0,0.0,16.1875,7.3125,155.46875,34.20625
mean_topk_raw_before,validation_map:maze-32-32-4,2526,219,74.88806413301663,239.90382420091325,268.00106371263746,542.813623403163,0.3854965510506811,0.0,0.0,16.1875,52.1875,155.46875,666.400000000001
max_weight_before,validation_all,2526,459,7.446555819477434,7.38562091503268,4.3605463673926375,4.394179428489302,0.013920357121597166,0.0,0.0,10.0,10.0,10.0,10.0
max_weight_before,validation_map:empty-48-48,2526,240,7.446555819477434,7.5,4.3605463673926375,4.330127018922194,0.012299128217442334,0.0,0.0,10.0,10.0,10.0,10.0
max_weight_before,validation_map:maze-32-32-4,2526,219,7.446555819477434,7.260273972602739,4.3605463673926375,4.459950848246496,0.04223571845196612,0.0,0.0,10.0,10.0,10.0,10.0
topk_raw_delta_mean,validation_all,2526,459,749.6109709026128,333.4983660130719,10267.428851924422,1963.9493841095507,0.05629386992212049,2.875,2.3000000000000003,16.9375,20.375,146.46875,284.48749999999995
topk_raw_delta_mean,validation_map:empty-48-48,2526,240,749.6109709026128,9.340885416666667,10267.428851924422,9.696252343173398,0.10196316360999026,2.875,1.6750000000000003,16.9375,5.4375,146.46875,22.293749999999996
topk_raw_delta_mean,validation_map:maze-32-32-4,2526,219,749.6109709026128,688.7394406392694,10267.428851924422,2800.464192805036,0.00808883119260495,2.875,19.7375,16.9375,58.4375,146.46875,916.2
topk_raw_delta_max,validation_all,2526,459,1061.2826603325416,491.22222222222223,14187.082781182853,2657.6813962129354,0.05585385152011156,8.0,7.0,35.0,35.0,255.5,571.9999999999995
topk_raw_delta_max,validation_map:empty-48-48,2526,240,1061.2826603325416,19.2875,14187.082781182853,17.46892031819178,0.10386931501615233,8.0,6.0,35.0,13.0,255.5,41.099999999999994
topk_raw_delta_max,validation_map:maze-32-32-4,2526,219,1061.2826603325416,1008.4109589041096,14187.082781182853,3780.4685915574064,0.0050927094265800195,8.0,33.8,35.0,112.0,255.5,1628.8000000000015
new_nonzero_edges_count,validation_all,2526,459,2096.1611243072052,1238.119825708061,3800.156446305655,1439.8773704211592,0.29860104140449956,22.0,74.80000000000001,855.0,968.0,5742.5,2555.3999999999996
new_nonzero_edges_count,validation_map:empty-48-48,2526,240,2096.1611243072052,1806.9333333333334,3800.156446305655,1652.7741539269327,0.09870378620772116,22.0,318.90000000000003,855.0,1338.5,5742.5,4625.1
new_nonzero_edges_count,validation_map:maze-32-32-4,2526,219,2096.1611243072052,614.7625570776256,3800.156446305655,780.0943674708022,0.5400357040606498,22.0,45.6,855.0,217.0,5742.5,2050.8
topk_blocked_edge_concentration,validation_all,2526,459,0.0662159783612203,0.0818381616545372,0.0628239168900711,0.06525198986419532,0.24390811779255742,0.005135202837215001,0.010088448958676,0.051723599428949996,0.0685714285714,0.141924837645,0.1648033126292
topk_blocked_edge_concentration,validation_map:empty-48-48,2526,240,0.0662159783612203,0.06340457278541202,0.0628239168900711,0.06535867768970756,0.04385706291738266,0.005135202837215001,0.0006902009690778002,0.051723599428949996,0.04338738591915,0.141924837645,0.14735294117609998
topk_blocked_edge_concentration,validation_map:maze-32-32-4,2526,219,0.0662159783612203,0.10203935493577035,0.0628239168900711,0.058839465667753055,0.5885777642103427,0.005135202837215001,0.04702861665588,0.051723599428949996,0.0886075949367,0.141924837645,0.17473174009000003
entropy_edge_usage,validation_all,2526,459,5.9620649209073635,5.72626835068449,1.2005835025786702,1.1560610255936943,0.20007642090195923,4.283883270025,3.90651177715,6.06659111669,5.94433702192,7.42711249643,7.265629259878
entropy_edge_usage,validation_map:empty-48-48,2526,240,5.9620649209073635,5.52355939847742,1.2005835025786702,1.3996217578679422,0.3363014788682429,4.283883270025,3.58490737703,6.06659111669,5.593744230515,7.42711249643,7.382964306078
entropy_edge_usage,validation_map:maze-32-32-4,2526,219,5.9620649209073635,5.948415147623746,1.2005835025786702,0.748294363838463,0.013645185173691335,4.283883270025,4.900521523448,6.06659111669,5.94941044509,7.42711249643,6.868737328908001
local_degree_mean_topk,validation_all,2526,459,3.172691508313539,3.4253812636165577,0.5145420362753272,0.6205639337920446,0.44329724696075873,2.3125,2.5,3.21875,3.6875,3.9375,4.0
local_degree_mean_topk,validation_map:empty-48-48,2526,240,3.172691508313539,3.953515625,0.5145420362753272,0.13540608682629168,2.075425958307012,2.3125,3.8125,3.21875,4.0,3.9375,4.0
local_degree_mean_topk,validation_map:maze-32-32-4,2526,219,3.172691508313539,2.846603881278539,0.5145420362753272,0.3825939468845506,0.7192152217319416,2.3125,2.34375,3.21875,2.84375,3.9375,3.375
current_additive_max_normalized_weight,validation_all,2526,459,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
current_additive_max_normalized_weight,validation_map:empty-48-48,2526,240,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
current_additive_max_normalized_weight,validation_map:maze-32-32-4,2526,219,10.0,10.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0
weight_entropy,validation_all,2526,459,2.752898112706658,2.7548407232352705,0.0401041403298023,0.02658961271938962,0.05709426028001366,2.7325952729302077,2.7397156909716425,2.7636074307793015,2.7620034382159107,2.770149837549913,2.768723576621533
weight_entropy,validation_map:empty-48-48,2526,240,2.752898112706658,2.7512388430858183,0.0401041403298023,0.03496765165903441,0.04410176654178001,2.7325952729302077,2.7258320714944726,2.7636074307793015,2.762011548052868,2.770149837549913,2.768414339553415
weight_entropy,validation_map:maze-32-32-4,2526,219,2.752898112706658,2.758787989152475,0.0401041403298023,0.010584251447859575,0.2008216114330109,2.7325952729302077,2.7447817771662097,2.7636074307793015,2.761799424609561,2.770149837549913,2.768804895146591
saturated_edge_count,validation_all,2526,459,1.2735550277117973,1.2178649237472767,0.9795965761675827,0.7020255592881494,0.06534953926421329,1.0,1.0,1.0,1.0,2.0,2.0
saturated_edge_count,validation_map:empty-48-48,2526,240,1.2735550277117973,1.3416666666666666,0.9795965761675827,0.82154157262768,0.07534224399078061,1.0,1.0,1.0,1.0,2.0,2.0
saturated_edge_count,validation_map:maze-32-32-4,2526,219,1.2735550277117973,1.082191780821918,0.9795965761675827,0.50802036751859,0.24524740451052057,1.0,1.0,1.0,1.0,2.0,1.0
