group_type,group_value,target_rule,predicted_rule,target_family,predicted_family,correct_rule,correct_family,count
agents,50,decay_095,block_heavy,decay,block,0,0,2
agents,50,block_light,block_heavy,block,block,0,1,1
agents,50,decay_090,neutral_additive,decay,additive_or_neutral,0,0,1
agents,50,decay_090,wait_light,decay,wait,0,0,1
all,all,neutral_additive,neutral_additive,additive_or_neutral,additive_or_neutral,1,1,654
all,all,commit_heavy,commit_heavy,commit,commit,1,1,372
all,all,wait_light,wait_light,wait,wait,1,1,196
all,all,block_heavy,block_heavy,block,block,1,1,195
all,all,block_heavy,neutral_additive,block,additive_or_neutral,0,0,188
all,all,commit_heavy,neutral_additive,commit,additive_or_neutral,0,0,177
all,all,neutral_additive,commit_heavy,additive_or_neutral,commit,0,0,158
all,all,wait_light,neutral_additive,wait,additive_or_neutral,0,0,116
all,all,neutral_additive,block_heavy,additive_or_neutral,block,0,0,89
all,all,neutral_additive,wait_light,additive_or_neutral,wait,0,0,78
all,all,block_heavy,commit_heavy,block,commit,0,0,77
all,all,commit_heavy,wait_light,commit,wait,0,0,62
all,all,block_heavy,wait_light,block,wait,0,0,53
all,all,commit_heavy,block_heavy,commit,block,0,0,44
all,all,wait_light,commit_heavy,wait,commit,0,0,44
all,all,block_light,neutral_additive,block,additive_or_neutral,0,0,38
all,all,wait_heavy,neutral_additive,wait,additive_or_neutral,0,0,36
all,all,decay_095,neutral_additive,decay,additive_or_neutral,0,0,35
all,all,wait_light,block_heavy,wait,block,0,0,34
all,all,wait_heavy,commit_heavy,wait,commit,0,0,33
all,all,block_light,wait_light,block,wait,0,0,29
all,all,wait_heavy,block_heavy,wait,block,0,0,26
all,all,block_light,block_light,block,block,1,1,22
all,all,block_light,commit_heavy,block,commit,0,0,22
all,all,decay_090,commit_heavy,decay,commit,0,0,19
all,all,decay_090,neutral_additive,decay,additive_or_neutral,0,0,17
all,all,decay_095,wait_light,decay,wait,0,0,16
all,all,decay_095,commit_heavy,decay,commit,0,0,13
all,all,neutral_additive,block_light,additive_or_neutral,block,0,0,13
all,all,decay_090,wait_light,decay,wait,0,0,12
all,all,wait_heavy,wait_light,wait,wait,0,1,12
all,all,wait_heavy,wait_heavy,wait,wait,1,1,11
all,all,wait_light,block_light,wait,block,0,0,11
all,all,block_light,block_heavy,block,block,0,1,9
all,all,commit_heavy,block_light,commit,block,0,0,8
all,all,decay_090,decay_090,decay,decay,1,1,8
all,all,decay_095,decay_095,decay,decay,1,1,8
all,all,decay_095,block_heavy,decay,block,0,0,6
all,all,decay_090,block_light,decay,block,0,0,5
all,all,neutral_additive,decay_095,additive_or_neutral,decay,0,0,5
all,all,commit_heavy,decay_090,commit,decay,0,0,4
all,all,decay_090,block_heavy,decay,block,0,0,4
all,all,block_heavy,block_light,block,block,0,1,3
all,all,commit_heavy,decay_095,commit,decay,0,0,3
all,all,decay_095,block_light,decay,block,0,0,3
