group_type,group_value,threshold,sample_count,near_tie_count,near_tie_rate,neutral_count,mean_best_minus_second_margin,median_best_minus_second_margin,mean_best_minus_neutral_threshold
map,warehouse-10-20-10-2-1,0.01,240,149,0.6208333333333333,71,0.019598640777997202,0.007585243026115,0.051350974131996886
map,warehouse-10-20-10-2-1,0.02,240,203,0.8458333333333333,71,0.019598640777997202,0.007585243026115,0.051350974131996886
map,warehouse-10-20-10-2-1,0.05,240,234,0.975,71,0.019598640777997202,0.007585243026115,0.051350974131996886
map,warehouse-20-40-10-2-1,0.001,225,118,0.5244444444444445,134,0.028992822195383405,0.000720288115246,0.0951045025436221
map,warehouse-20-40-10-2-1,0.0025,225,151,0.6711111111111111,134,0.028992822195383405,0.000720288115246,0.0951045025436221
map,warehouse-20-40-10-2-1,0.005,225,181,0.8044444444444444,134,0.028992822195383405,0.000720288115246,0.0951045025436221
map,warehouse-20-40-10-2-1,0.01,225,210,0.9333333333333333,134,0.028992822195383405,0.000720288115246,0.0951045025436221
map,warehouse-20-40-10-2-1,0.02,225,219,0.9733333333333334,134,0.028992822195383405,0.000720288115246,0.0951045025436221
map,warehouse-20-40-10-2-1,0.05,225,219,0.9733333333333334,134,0.028992822195383405,0.000720288115246,0.0951045025436221
split,train,0.001,2526,506,0.20031670625494855,835,0.019309661685906983,0.006000170244550004,0.06723726163924686
split,train,0.0025,2526,798,0.3159144893111639,835,0.019309661685906983,0.006000170244550004,0.06723726163924686
split,train,0.005,2526,1162,0.4600158353127474,835,0.019309661685906983,0.006000170244550004,0.06723726163924686
split,train,0.01,2526,1640,0.6492478226444972,835,0.019309661685906983,0.006000170244550004,0.06723726163924686
split,train,0.02,2526,2052,0.8123515439429929,835,0.019309661685906983,0.006000170244550004,0.06723726163924686
split,train,0.05,2526,2373,0.9394299287410927,835,0.019309661685906983,0.006000170244550004,0.06723726163924686
split,validation,0.001,459,99,0.21568627450980393,166,0.023955398129485,0.004188144329889999,0.07908057383101055
split,validation,0.0025,459,168,0.3660130718954248,166,0.023955398129485,0.004188144329889999,0.07908057383101055
split,validation,0.005,459,245,0.5337690631808278,166,0.023955398129485,0.004188144329889999,0.07908057383101055
split,validation,0.01,459,324,0.7058823529411765,166,0.023955398129485,0.004188144329889999,0.07908057383101055
split,validation,0.02,459,378,0.8235294117647058,166,0.023955398129485,0.004188144329889999,0.07908057383101055
split,validation,0.05,459,430,0.9368191721132898,166,0.023955398129485,0.004188144329889999,0.07908057383101055
validation_agents,100,0.001,120,22,0.18333333333333332,42,0.00785095154893203,0.004462063870434999,0.031878098946926996
validation_agents,100,0.0025,120,38,0.31666666666666665,42,0.00785095154893203,0.004462063870434999,0.031878098946926996
validation_agents,100,0.005,120,62,0.5166666666666667,42,0.00785095154893203,0.004462063870434999,0.031878098946926996
validation_agents,100,0.01,120,90,0.75,42,0.00785095154893203,0.004462063870434999,0.031878098946926996
validation_agents,100,0.02,120,107,0.8916666666666667,42,0.00785095154893203,0.004462063870434999,0.031878098946926996
validation_agents,100,0.05,120,120,1.0,42,0.00785095154893203,0.004462063870434999,0.031878098946926996
validation_agents,200,0.001,120,19,0.15833333333333333,43,0.03319533542407122,0.005831862249949998,0.07889604346314401
validation_agents,200,0.0025,120,34,0.2833333333333333,43,0.03319533542407122,0.005831862249949998,0.07889604346314401
validation_agents,200,0.005,120,57,0.475,43,0.03319533542407122,0.005831862249949998,0.07889604346314401
validation_agents,200,0.01,120,72,0.6,43,0.03319533542407122,0.005831862249949998,0.07889604346314401
validation_agents,200,0.02,120,84,0.7,43,0.03319533542407122,0.005831862249949998,0.07889604346314401
validation_agents,200,0.05,120,106,0.8833333333333333,43,0.03319533542407122,0.005831862249949998,0.07889604346314401
validation_agents,400,0.001,99,27,0.2727272727272727,34,0.053805876117424004,0.00548576880268,0.21655450711493365
validation_agents,400,0.0025,99,40,0.40404040404040403,34,0.053805876117424004,0.00548576880268,0.21655450711493365
validation_agents,400,0.005,99,49,0.494949494949495,34,0.053805876117424004,0.00548576880268,0.21655450711493365
validation_agents,400,0.01,99,64,0.6464646464646465,34,0.053805876117424004,0.00548576880268,0.21655450711493365
validation_agents,400,0.02,99,77,0.7777777777777778,34,0.053805876117424004,0.00548576880268,0.21655450711493365
validation_agents,400,0.05,99,84,0.8484848484848485,34,0.053805876117424004,0.00548576880268,0.21655450711493365
validation_agents,50,0.001,120,31,0.25833333333333336,47,0.00619326307540207,0.0027353767583850005,0.013051584123724326
validation_agents,50,0.0025,120,56,0.4666666666666667,47,0.00619326307540207,0.0027353767583850005,0.013051584123724326
validation_agents,50,0.005,120,77,0.6416666666666667,47,0.00619326307540207,0.0027353767583850005,0.013051584123724326
validation_agents,50,0.01,120,98,0.8166666666666667,47,0.00619326307540207,0.0027353767583850005,0.013051584123724326
validation_agents,50,0.02,120,110,0.9166666666666666,47,0.00619326307540207,0.0027353767583850005,0.013051584123724326
validation_agents,50,0.05,120,120,1.0,47,0.00619326307540207,0.0027353767583850005,0.013051584123724326
validation_iteration,0,0.001,120,31,0.25833333333333336,41,0.048441238264957394,0.004224246371244999,0.11402132563031171
validation_iteration,0,0.0025,120,47,0.39166666666666666,41,0.048441238264957394,0.004224246371244999,0.11402132563031171
validation_iteration,0,0.005,120,62,0.5166666666666667,41,0.048441238264957394,0.004224246371244999,0.11402132563031171
validation_iteration,0,0.01,120,82,0.6833333333333333,41,0.048441238264957394,0.004224246371244999,0.11402132563031171
validation_iteration,0,0.02,120,98,0.8166666666666667,41,0.048441238264957394,0.004224246371244999,0.11402132563031171
validation_iteration,0,0.05,120,108,0.9,41,0.048441238264957394,0.004224246371244999,0.11402132563031171
validation_iteration,1,0.001,120,26,0.21666666666666667,46,0.020312167809812123,0.004790203534950001,0.10140623847092106
validation_iteration,1,0.0025,120,39,0.325,46,0.020312167809812123,0.004790203534950001,0.10140623847092106
validation_iteration,1,0.005,120,63,0.525,46,0.020312167809812123,0.004790203534950001,0.10140623847092106
