agents,best_delta,best_minus_second,best_minus_target,best_probe_rule,candidate_count,checkpoint_id,harmful_candidate_count,iteration,map_name,second_delta,second_probe_rule,seed,split,target_delta,target_in_tie_eps_0_001,target_in_tie_eps_0_0025,target_in_tie_eps_0_005,target_in_tie_eps_0_01,target_in_tie_eps_0_02,target_rule_executable,target_rule_original,tie_count_eps_0_001,tie_count_eps_0_0025,tie_count_eps_0_005,tie_count_eps_0_01,tie_count_eps_0_02
50,0.174369747899,0.025210084033000013,0.0,wait_light,8,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.149159663866,block_heavy,2,train,0.174369747899,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
50,0.0357142857143,0.0042016806723,0.0,block_heavy,8,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter2,2,2,empty-16-16,0.031512605042,decay_095,2,train,0.0357142857143,1,1,1,1,1,block_heavy,block_heavy,1,1,2,2,3
50,0.0126050420168,0.00840336134453,0.0,block_light,8,empty-16-16__a50__i2__phase4_phase4-full-repair1__iter3,2,3,empty-16-16,0.00420168067227,block_heavy,2,train,0.0126050420168,1,1,1,1,1,block_light,block_light,1,1,1,2,5
100,0.157345971564,0.11658767772509998,0.0,wait_light,8,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,0.0407582938389,wait_heavy,2,train,0.157345971564,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0142180094787,0.00758293838865,0.0,wait_light,8,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter1,5,1,empty-16-16,0.00663507109005,commit_heavy,2,train,0.0142180094787,1,1,1,1,1,wait_light,wait_light,1,1,1,2,3
100,0.042654028436,0.023696682464399998,0.0,decay_090,8,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter2,3,2,empty-16-16,0.0189573459716,decay_095,2,train,0.042654028436,1,1,1,1,1,decay_090,decay_090,1,1,1,1,1
100,0.0341232227488,0.005687203791500003,0.0,commit_heavy,8,empty-16-16__a100__i2__phase4_phase4-full-repair1__iter3,4,3,empty-16-16,0.0284360189573,decay_090,2,train,0.0341232227488,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,2,3
200,0.334134615385,0.334134615385,0.0,commit_heavy,8,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter0,4,0,empty-16-16,0.0,decay_095,2,train,0.334134615385,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,1
200,0.0,0.0120192307692,0.0,additive_ltm,8,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter1,6,1,empty-16-16,-0.0120192307692,decay_090,2,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,1,2
200,0.258173076923,0.091346153846,0.0,decay_090,8,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.166826923077,block_light,2,train,0.258173076923,1,1,1,1,1,decay_090,decay_090,1,1,1,1,1
200,0.120673076923,0.0730769230768,0.0,wait_heavy,8,empty-16-16__a200__i2__phase4_phase4-full-repair1__iter3,5,3,empty-16-16,0.0475961538462,wait_light,2,train,0.120673076923,1,1,1,1,1,wait_heavy,wait_heavy,1,1,1,1,1
50,0.0685714285714,0.009523809523799998,0.0,block_heavy,8,empty-16-16__a50__i3__phase4_phase4-full-repair1__iter0,3,0,empty-16-16,0.0590476190476,wait_heavy,3,train,0.0685714285714,1,1,1,1,1,block_heavy,block_heavy,1,1,1,2,2
50,0.0742857142857,0.011428571428599987,0.0,decay_090,8,empty-16-16__a50__i3__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.0628571428571,decay_095,3,train,0.0742857142857,1,1,1,1,1,decay_090,decay_090,1,1,1,1,2
50,0.0590476190476,0.007619047619000001,0.0,block_light,8,empty-16-16__a50__i3__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.0514285714286,wait_heavy,3,train,0.0590476190476,1,1,1,1,1,block_light,block_light,1,1,1,2,5
50,0.032380952381,0.0019047619048000002,0.0,wait_light,8,empty-16-16__a50__i3__phase4_phase4-full-repair1__iter3,1,3,empty-16-16,0.0304761904762,block_light,3,train,0.032380952381,1,1,1,1,1,wait_light,wait_light,1,2,2,2,3
100,0.213426853707,0.09118236472900001,0.0,wait_light,8,empty-16-16__a100__i3__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.122244488978,commit_heavy,3,train,0.213426853707,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0921843687375,0.04609218436879999,0.0,block_heavy,8,empty-16-16__a100__i3__phase4_phase4-full-repair1__iter1,3,1,empty-16-16,0.0460921843687,block_light,3,train,0.0921843687375,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
100,0.065130260521,0.013026052104199999,0.0,wait_light,8,empty-16-16__a100__i3__phase4_phase4-full-repair1__iter2,1,2,empty-16-16,0.0521042084168,block_light,3,train,0.065130260521,1,1,1,1,1,wait_light,wait_light,1,1,1,1,3
100,0.0180360721443,0.011022044088189999,0.0,decay_090,8,empty-16-16__a100__i3__phase4_phase4-full-repair1__iter3,1,3,empty-16-16,0.00701402805611,wait_light,3,train,0.0180360721443,1,1,1,1,1,decay_090,decay_090,1,1,1,1,5
200,0.218613669413,0.059621909840000015,0.0,commit_heavy,8,empty-16-16__a200__i3__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.158991759573,block_heavy,3,train,0.218613669413,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,1
200,0.0,0.0935530780417,0.0,additive_ltm,8,empty-16-16__a200__i3__phase4_phase4-full-repair1__iter1,7,1,empty-16-16,-0.0935530780417,block_heavy,3,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,1,1
200,0.139602520601,0.007270964615000014,0.0,decay_090,8,empty-16-16__a200__i3__phase4_phase4-full-repair1__iter2,4,2,empty-16-16,0.132331555986,decay_095,3,train,0.139602520601,1,1,1,1,1,decay_090,decay_090,1,1,1,2,2
200,0.0838584585555,0.058652447891400006,0.0,commit_heavy,8,empty-16-16__a200__i3__phase4_phase4-full-repair1__iter3,4,3,empty-16-16,0.0252060106641,wait_light,3,train,0.0838584585555,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,1
50,0.0726915520629,0.0353634577603,0.0,block_light,8,empty-16-16__a50__i4__phase4_phase4-full-repair1__iter0,3,0,empty-16-16,0.0373280943026,wait_light,4,train,0.0726915520629,1,1,1,1,1,block_light,block_light,1,1,1,1,1
50,0.196463654224,0.03143418467600001,0.0,commit_heavy,8,empty-16-16__a50__i4__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.165029469548,block_heavy,4,train,0.196463654224,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,1
50,0.0589390962672,0.009823182711200001,0.0,decay_090,8,empty-16-16__a50__i4__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.049115913556,decay_095,4,train,0.0589390962672,1,1,1,1,1,decay_090,decay_090,1,1,1,2,3
50,0.0,0.0137524557957,0.0,additive_ltm,8,empty-16-16__a50__i4__phase4_phase4-full-repair1__iter3,6,3,empty-16-16,-0.0137524557957,wait_heavy,4,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,1,2
100,0.212787212787,0.13986013985989998,0.0,wait_light,8,empty-16-16__a100__i4__phase4_phase4-full-repair1__iter0,1,0,empty-16-16,0.0729270729271,commit_heavy,4,train,0.212787212787,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.025974025974,0.025974025974,0.0,wait_light,8,empty-16-16__a100__i4__phase4_phase4-full-repair1__iter1,6,1,empty-16-16,0.0,additive_ltm,4,train,0.025974025974,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0,0.001998001998,0.0,additive_ltm,8,empty-16-16__a100__i4__phase4_phase4-full-repair1__iter2,6,2,empty-16-16,-0.001998001998,block_heavy,4,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,2,2,2,2
100,0.038961038961,0.002997002996999995,0.0,block_light,8,empty-16-16__a100__i4__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.035964035964,block_heavy,4,train,0.038961038961,1,1,1,1,1,block_light,block_light,1,1,2,3,4
200,1.77369439072,0.019342359769999984,0.0,wait_light,8,empty-16-16__a200__i4__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,1.75435203095,block_light,4,train,1.77369439072,1,1,1,1,1,wait_light,wait_light,1,1,1,1,2
200,0.0,0.0560928433269,0.0,additive_ltm,8,empty-16-16__a200__i4__phase4_phase4-full-repair1__iter1,7,1,empty-16-16,-0.0560928433269,decay_090,4,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,1,1
200,0.291102514507,0.02272727272799996,0.0,wait_light,8,empty-16-16__a200__i4__phase4_phase4-full-repair1__iter2,1,2,empty-16-16,0.268375241779,wait_heavy,4,train,0.291102514507,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
200,0.0,0.00967117988395,0.0,additive_ltm,8,empty-16-16__a200__i4__phase4_phase4-full-repair1__iter3,6,3,empty-16-16,-0.00967117988395,decay_090,4,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,2,2
50,0.0439770554493,0.009560229445500001,0.0,wait_light,8,empty-16-16__a50__i5__phase4_phase4-full-repair1__iter0,3,0,empty-16-16,0.0344168260038,commit_heavy,5,train,0.0439770554493,1,1,1,1,1,wait_light,wait_light,1,1,1,2,2
50,0.0707456978967,0.0210325047801,0.0,block_heavy,8,empty-16-16__a50__i5__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.0497131931166,block_light,5,train,0.0707456978967,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
50,0.0,0.00764818355641,0.0,additive_ltm,8,empty-16-16__a50__i5__phase4_phase4-full-repair1__iter2,5,2,empty-16-16,-0.00764818355641,block_light,5,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,2,3
50,0.0019120458891,0.0019120458891,0.0019120458891,decay_095,8,empty-16-16__a50__i5__phase4_phase4-full-repair1__iter3,2,3,empty-16-16,0.0,additive_ltm,5,train,0.0,0,1,1,1,1,additive_ltm,neutral_additive,1,2,2,3,6
100,0.256221198157,0.047004608295,0.0,block_heavy,8,empty-16-16__a100__i5__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.209216589862,wait_light,5,train,0.256221198157,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
100,0.116129032258,0.014746543779000004,0.0,block_heavy,8,empty-16-16__a100__i5__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.101382488479,decay_090,5,train,0.116129032258,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,2
100,0.0755760368664,0.0027649769586000073,0.0,decay_090,8,empty-16-16__a100__i5__phase4_phase4-full-repair1__iter2,2,2,empty-16-16,0.0728110599078,decay_095,5,train,0.0755760368664,1,1,1,1,1,decay_090,decay_090,1,1,2,2,2
100,0.106912442396,0.0009216589859999957,0.0,decay_095,8,empty-16-16__a100__i5__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.10599078341,block_heavy,5,train,0.106912442396,1,1,1,1,1,decay_095,decay_095,2,2,2,2,2
200,0.84542437174,0.3210052157419999,0.0,wait_light,8,empty-16-16__a200__i5__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,0.524419155998,block_heavy,5,train,0.84542437174,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
200,0.338549075391,0.00900900900899998,0.0,block_light,8,empty-16-16__a200__i5__phase4_phase4-full-repair1__iter1,1,1,empty-16-16,0.329540066382,wait_light,5,train,0.338549075391,1,1,1,1,1,block_light,block_light,1,1,1,2,3
200,0.228544333807,0.014224751066000019,0.0,wait_light,8,empty-16-16__a200__i5__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.214319582741,block_light,5,train,0.228544333807,1,1,1,1,1,wait_light,wait_light,1,1,1,1,2
200,0.099573257468,0.099573257468,0.0,wait_light,8,empty-16-16__a200__i5__phase4_phase4-full-repair1__iter3,4,3,empty-16-16,0.0,additive_ltm,5,train,0.099573257468,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
50,0.128472222222,0.019097222222,0.0,block_heavy,8,empty-16-16__a50__i6__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.109375,wait_heavy,6,train,0.128472222222,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,2
50,0.0190972222222,0.0190972222222,0.0,commit_heavy,8,empty-16-16__a50__i6__phase4_phase4-full-repair1__iter1,4,1,empty-16-16,0.0,additive_ltm,6,train,0.0190972222222,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,1,2
50,0.0815972222222,0.026041666666600002,0.0,wait_light,8,empty-16-16__a50__i6__phase4_phase4-full-repair1__iter2,1,2,empty-16-16,0.0555555555556,decay_090,6,train,0.0815972222222,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
50,0.0277777777778,0.008680555555600003,0.0,decay_095,8,empty-16-16__a50__i6__phase4_phase4-full-repair1__iter3,1,3,empty-16-16,0.0190972222222,wait_heavy,6,train,0.0277777777778,1,1,1,1,1,decay_095,decay_095,1,1,1,2,4
100,0.102131438721,0.102131438721,0.0,wait_light,8,empty-16-16__a100__i6__phase4_phase4-full-repair1__iter0,3,0,empty-16-16,0.0,decay_095,6,train,0.102131438721,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.126110124334,0.05595026642990002,0.0,wait_light,8,empty-16-16__a100__i6__phase4_phase4-full-repair1__iter1,3,1,empty-16-16,0.0701598579041,block_heavy,6,train,0.126110124334,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0985790408526,0.0408525754885,0.0,wait_light,8,empty-16-16__a100__i6__phase4_phase4-full-repair1__iter2,1,2,empty-16-16,0.0577264653641,block_light,6,train,0.0985790408526,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0435168738899,0.004440497335699997,0.0,block_light,8,empty-16-16__a100__i6__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.0390763765542,decay_090,6,train,0.0435168738899,1,1,1,1,1,block_light,block_light,1,1,2,2,2
200,1.28755167662,0.022508038589999835,0.0,block_heavy,8,empty-16-16__a200__i6__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,1.26504363803,wait_light,6,train,1.28755167662,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
200,0.196600826826,0.110243454295,0.0,decay_090,8,empty-16-16__a200__i6__phase4_phase4-full-repair1__iter1,5,1,empty-16-16,0.086357372531,block_heavy,6,train,0.196600826826,1,1,1,1,1,decay_090,decay_090,1,1,1,1,1
200,0.108865411116,0.011943040881699993,0.0,block_heavy,8,empty-16-16__a200__i6__phase4_phase4-full-repair1__iter2,2,2,empty-16-16,0.0969223702343,decay_095,6,train,0.108865411116,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,2
200,0.0881947634359,0.01561782269180001,0.0,wait_light,8,empty-16-16__a200__i6__phase4_phase4-full-repair1__iter3,3,3,empty-16-16,0.0725769407441,commit_heavy,6,train,0.0881947634359,1,1,1,1,1,wait_light,wait_light,1,1,1,1,2
50,0.0,0.0,0.0,decay_095,8,empty-16-16__a50__i7__phase4_phase4-full-repair1__iter0,5,0,empty-16-16,0.0,decay_090,7,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,3,3,3,3,3
50,0.0,0.0061099796334,0.0,additive_ltm,8,empty-16-16__a50__i7__phase4_phase4-full-repair1__iter1,4,1,empty-16-16,-0.0061099796334,block_heavy,7,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,2,4
50,0.0529531568228,0.030549898167000003,0.0,block_light,8,empty-16-16__a50__i7__phase4_phase4-full-repair1__iter2,3,2,empty-16-16,0.0224032586558,wait_light,7,train,0.0529531568228,1,1,1,1,1,block_light,block_light,1,1,1,1,1
50,0.0346232179226,0.006109979633400001,0.0,wait_heavy,8,empty-16-16__a50__i7__phase4_phase4-full-repair1__iter3,2,3,empty-16-16,0.0285132382892,wait_light,7,train,0.0346232179226,1,1,1,1,1,wait_heavy,wait_heavy,1,1,1,2,3
100,0.198480531814,0.198480531814,0.0,block_heavy,8,empty-16-16__a100__i7__phase4_phase4-full-repair1__iter0,2,0,empty-16-16,0.0,decay_095,7,train,0.198480531814,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
100,0.0322886989554,0.009496676163400001,0.0,wait_light,8,empty-16-16__a100__i7__phase4_phase4-full-repair1__iter1,3,1,empty-16-16,0.022792022792,commit_heavy,7,train,0.0322886989554,1,1,1,1,1,wait_light,wait_light,1,1,1,2,3
100,0.0712250712251,0.004748338081699999,0.0,wait_light,8,empty-16-16__a100__i7__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.0664767331434,block_light,7,train,0.0712250712251,1,1,1,1,1,wait_light,wait_light,1,1,2,2,3
100,0.143399810066,0.021842355174999994,0.0,block_heavy,8,empty-16-16__a100__i7__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.121557454891,block_light,7,train,0.143399810066,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
200,0.0,0.0,0.0,decay_095,8,empty-16-16__a200__i7__phase4_phase4-full-repair1__iter0,5,0,empty-16-16,0.0,decay_090,7,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,3,3,3,3,3
200,0.20027688048,0.05306875865300001,0.0,block_light,8,empty-16-16__a200__i7__phase4_phase4-full-repair1__iter1,4,1,empty-16-16,0.147208121827,commit_heavy,7,train,0.20027688048,1,1,1,1,1,block_light,block_light,1,1,1,1,1
200,0.119058606368,0.005999077064999997,0.0,commit_heavy,8,empty-16-16__a200__i7__phase4_phase4-full-repair1__iter2,2,2,empty-16-16,0.113059529303,block_light,7,train,0.119058606368,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,2,3
200,0.296262113521,0.043839409322000034,0.0,block_heavy,8,empty-16-16__a200__i7__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.252422704199,wait_heavy,7,train,0.296262113521,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
50,0.232514177694,0.10775047259000001,0.0,block_heavy,8,empty-16-16__a50__i8__phase4_phase4-full-repair1__iter0,1,0,empty-16-16,0.124763705104,wait_heavy,8,train,0.232514177694,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,1
50,0.0359168241966,0.02646502835539,0.0,decay_095,8,empty-16-16__a50__i8__phase4_phase4-full-repair1__iter1,5,1,empty-16-16,0.00945179584121,decay_090,8,train,0.0359168241966,1,1,1,1,1,decay_095,decay_095,1,1,1,1,1
50,0.0283553875236,0.009451795841200001,0.0,commit_heavy,8,empty-16-16__a50__i8__phase4_phase4-full-repair1__iter2,3,2,empty-16-16,0.0189035916824,block_light,8,train,0.0283553875236,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,2,3
50,0.0321361058601,0.005671077504700004,0.0,block_heavy,8,empty-16-16__a50__i8__phase4_phase4-full-repair1__iter3,2,3,empty-16-16,0.0264650283554,decay_090,8,train,0.0321361058601,1,1,1,1,1,block_heavy,block_heavy,1,1,1,2,2
100,0.0,0.0,0.0,decay_095,8,empty-16-16__a100__i8__phase4_phase4-full-repair1__iter0,5,0,empty-16-16,0.0,decay_090,8,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,3,3,3,3,3
100,0.0104166666667,0.0104166666667,0.0,wait_light,8,empty-16-16__a100__i8__phase4_phase4-full-repair1__iter1,5,1,empty-16-16,0.0,additive_ltm,8,train,0.0104166666667,1,1,1,1,1,wait_light,wait_light,1,1,1,1,2
100,0.00757575757576,0.00757575757576,0.0,commit_heavy,8,empty-16-16__a100__i8__phase4_phase4-full-repair1__iter2,5,2,empty-16-16,0.0,additive_ltm,8,train,0.00757575757576,1,1,1,1,1,commit_heavy,commit_heavy,1,1,1,2,2
100,0.0530303030303,0.016098484848500003,0.0,block_heavy,8,empty-16-16__a100__i8__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.0369318181818,block_light,8,train,0.0530303030303,1,1,1,1,1,block_heavy,block_heavy,1,1,1,1,2
200,0.683295194508,0.08054919908500002,0.0,wait_light,8,empty-16-16__a200__i8__phase4_phase4-full-repair1__iter0,1,0,empty-16-16,0.602745995423,commit_heavy,8,train,0.683295194508,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
200,0.417391304348,0.03249427917600001,0.0,wait_light,8,empty-16-16__a200__i8__phase4_phase4-full-repair1__iter1,1,1,empty-16-16,0.384897025172,commit_heavy,8,train,0.417391304348,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
200,0.205034324943,0.023340961098999996,0.0,wait_light,8,empty-16-16__a200__i8__phase4_phase4-full-repair1__iter2,2,2,empty-16-16,0.181693363844,commit_heavy,8,train,0.205034324943,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
200,0.489702517162,0.009610983980999965,0.0,block_light,8,empty-16-16__a200__i8__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.480091533181,block_heavy,8,train,0.489702517162,1,1,1,1,1,block_light,block_light,1,1,1,2,2
50,0.0,0.0,0.0,decay_095,8,empty-16-16__a50__i9__phase4_phase4-full-repair1__iter0,4,0,empty-16-16,0.0,decay_090,9,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,3,3,4,4,4
50,0.0594262295082,0.0184426229508,0.0,wait_light,8,empty-16-16__a50__i9__phase4_phase4-full-repair1__iter1,0,1,empty-16-16,0.0409836065574,commit_heavy,9,train,0.0594262295082,1,1,1,1,1,wait_light,wait_light,1,1,1,1,2
50,0.0348360655738,0.0122950819672,0.0,decay_095,8,empty-16-16__a50__i9__phase4_phase4-full-repair1__iter2,0,2,empty-16-16,0.0225409836066,block_light,9,train,0.0348360655738,1,1,1,1,1,decay_095,decay_095,1,1,1,1,2
50,0.0389344262295,0.012295081967199997,0.0,decay_095,8,empty-16-16__a50__i9__phase4_phase4-full-repair1__iter3,0,3,empty-16-16,0.0266393442623,block_light,9,train,0.0389344262295,1,1,1,1,1,decay_095,decay_095,1,1,1,1,2
100,0.164136622391,0.024667931689,0.0,wait_light,8,empty-16-16__a100__i9__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,0.139468690702,wait_heavy,9,train,0.164136622391,1,1,1,1,1,wait_light,wait_light,1,1,1,1,1
100,0.0455407969639,0.0104364326375,0.0,wait_heavy,8,empty-16-16__a100__i9__phase4_phase4-full-repair1__iter1,2,1,empty-16-16,0.0351043643264,decay_095,9,train,0.0455407969639,1,1,1,1,1,wait_heavy,wait_heavy,1,1,1,1,3
100,0.0,0.00759013282732,0.0,additive_ltm,8,empty-16-16__a100__i9__phase4_phase4-full-repair1__iter2,6,2,empty-16-16,-0.00759013282732,commit_heavy,9,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,2,2
100,0.0645161290323,0.0170777988615,0.0,decay_095,8,empty-16-16__a100__i9__phase4_phase4-full-repair1__iter3,1,3,empty-16-16,0.0474383301708,commit_heavy,9,train,0.0645161290323,1,1,1,1,1,decay_095,decay_095,1,1,1,1,2
200,1.29937530034,0.039884670830000024,0.0,wait_heavy,8,empty-16-16__a200__i9__phase4_phase4-full-repair1__iter0,0,0,empty-16-16,1.25949062951,block_light,9,train,1.29937530034,1,1,1,1,1,wait_heavy,wait_heavy,1,1,1,1,1
200,0.107640557424,0.029793368572500006,0.0,decay_090,8,empty-16-16__a200__i9__phase4_phase4-full-repair1__iter1,2,1,empty-16-16,0.0778471888515,decay_095,9,train,0.107640557424,1,1,1,1,1,decay_090,decay_090,1,1,1,1,1
200,0.0,0.0619894281595,0.0,additive_ltm,8,empty-16-16__a200__i9__phase4_phase4-full-repair1__iter2,7,2,empty-16-16,-0.0619894281595,block_light,9,train,0.0,1,1,1,1,1,additive_ltm,neutral_additive,1,1,1,1,1
